Date,AHT,ALT,ARH,WS,RAINFALL
1-10-1970,30.8,21.3,89,1.0,29.5
2-10-1970,34.2,24.3,79.25,6.8,18.2
3-10-1970,33.9,23.5,75.25,6.17,7
4-10-1970,34,24.9,80.25,5.0,0
5-10-1970,33.4,22.8,79,3.1,3.9
6-10-1970,34.6,25.9,74.5,4.23,0
7-10-1970,34.7,25.2,73.25,3.1,0
8-10-1970,35.3,23.7,69.5,7.83,0
9-10-1970,34.9,24.9,66.75,9.03,0
10-10-1970,34.9,24.5,70.5,6.87,0
11-10-1970,32.2,24.3,80,2.9,0
12-10-1970,33.3,23.9,79.25,4.5,0
13-10-1970,31.4,24.3,84,3.77,0
14-10-1970,34,24.1,75.25,3.5,0
15-10-1970,34.8,24.7,71.75,5.93,0
16-10-1970,35.3,23.4,69.25,4.17,0
17-10-1970,35.6,24.5,71,4.0,0
18-10-1970,34.7,24.6,71,8.33,0
19-10-1970,35.1,25.4,70.75,5.17,0
20-10-1970,35.6,25.2,69,4.77,0
21-10-1970,36,25.2,67.25,8.83,0
22-10-1970,31.8,22.8,83.75,2.9,13.6
23-10-1970,32.5,23.4,83.75,7.0,0
24-10-1970,32.4,21.3,92.5,1.0,0
25-10-1970,31.8,23.4,81.75,2.93,26.6
26-10-1970,32.5,24.2,82.25,4.33,0
27-10-1970,33.6,24.7,75.75,2.57,0
28-10-1970,34.6,24.8,78.25,3.5,0
29-10-1970,33.5,24,74,4.5,0
30-10-1970,34.5,24.7,73.25,4.1,0
31-10-1970,32.7,24.7,89.5,2.33,0
1-10-1971,35.3,24.6,65.5,4.23,0
2-10-1971,34.3,24.6,70.75,6.1,0
3-10-1971,30.9,21.8,90.5,3.13,28.6
4-10-1971,33.8,24.7,76.75,1.07,7.4
5-10-1971,32.8,25,78.5,3.13,0
6-10-1971,29.6,24.3,82.75,3.5,0
7-10-1971,33.6,22.6,76,2.23,0
8-10-1971,33.8,24.5,80,1.77,0
9-10-1971,33.5,23.9,84,6.17,6.1
10-10-1971,34,23.1,70,3.53,9.5
11-10-1971,35,22.8,66,3.93,0
12-10-1971,34.7,24.6,66,3.45,0
13-10-1971,33.9,25,69.5,6.33,0
14-10-1971,29.8,23.3,90.75,5.17,20.2
15-10-1971,31.5,22.4,86.25,3.7,1.1
16-10-1971,29.9,22.2,88,4.77,1.4
17-10-1971,29.8,21.5,87.5,4.93,30.5
18-10-1971,31.8,22.7,79.25,4.57,6.6
19-10-1971,31.9,22.9,79.25,1.67,0
20-10-1971,33.4,23.5,74.25,2.17,1.6
21-10-1971,29.8,22.7,92.25,3.97,8
22-10-1971,32.3,21.9,83.25,2.87,0
23-10-1971,32.1,23.2,80.5,4.93,0
24-10-1971,30.4,24.5,86.25,2.8,1.2
25-10-1971,32.7,24.2,82.75,3.1,3.5
26-10-1971,28.7,24.3,93,4.83,10.2
27-10-1971,30.8,22.6,90.5,5.9,12.2
28-10-1971,32.5,22.5,78,4.0,0.9
29-10-1971,33.5,23.1,73.75,1.5,0
30-10-1971,30.9,22.9,89.5,2.67,29.8
31-10-1971,32.9,24.1,77.75,6.3,3.5
1-10-1972,34,24.8,72.25,6.77,0
2-10-1972,35.7,25,71.75,2.23,0
3-10-1972,35.4,25.5,67,7.77,0
4-10-1972,36.2,25.3,63.75,6.9,0
5-10-1972,35,25.3,70,8.1,0
6-10-1972,34.9,24.2,70.75,7.37,0
7-10-1972,35.6,25.6,67.25,6.67,0
8-10-1972,33.3,24,78,4.43,0
9-10-1972,34,22.7,74.25,3.83,0
10-10-1972,28.5,24.3,89.5,7.2,6
11-10-1972,33.9,22.1,76.25,5.0,1.5
12-10-1972,34.9,24.3,70.5,6.23,0
13-10-1972,35.5,24.4,64,6.67,0.2
14-10-1972,36.5,24.4,60.75,5.0,0
15-10-1972,36.6,25.6,70.25,4.43,0
16-10-1972,30.4,22.5,82.25,3.13,37
17-10-1972,33.3,24.1,79.75,4.43,0
18-10-1972,33.1,21.6,75.25,2.0,0.5
19-10-1972,32,24.5,90,1.43,0
20-10-1972,33.2,23.7,75.75,3.67,0.5
21-10-1972,33.9,23.9,70.5,6.77,0
22-10-1972,33.7,25,71.5,3.07,0
23-10-1972,34,24.8,73.75,4.23,0
24-10-1972,34.5,23.7,66,4.83,0.3
25-10-1972,34.7,25.3,71.75,1.77,0
26-10-1972,30.5,23.8,92.75,1.33,0
27-10-1972,29.5,23.8,90.25,1.77,35.4
28-10-1972,33.2,24.7,86.5,3.67,2.6
29-10-1972,32,23.9,92,5.33,0
30-10-1972,31.8,22.6,79.25,5.23,10.2
31-10-1972,32,23.3,87.75,1.07,0
1-10-1973,32.7,24.5,77.75,3.23,10
2-10-1973,30.8,24.1,90.75,5.0,0
3-10-1973,30.8,22.4,84.5,1.93,1
4-10-1973,34.1,24,78.75,6.73,0
5-10-1973,31.8,23.4,88.25,5.0,31.2
6-10-1973,31.7,23.7,84.75,5.6,4.4
7-10-1973,33.3,24.4,80.5,0.33,0
8-10-1973,34.8,23.9,73,1.67,2.5
9-10-1973,34.3,24,77.5,1.27,0.8
10-10-1973,34.6,24.1,72,1.43,2.6
11-10-1973,34.6,24.1,70,4.47,0
12-10-1973,35,24.4,68,6.67,0
13-10-1973,35.5,24.3,68.5,3.33,0
14-10-1973,33.6,25.3,75.25,7.8,0
15-10-1973,31.2,24.7,80.5,5.0,0
16-10-1973,33.5,24.7,74.25,4.67,0.1
17-10-1973,29.9,23.3,87.75,4.67,27
18-10-1973,33.6,21.7,76,5.0,0
19-10-1973,33.4,24.6,78.5,2.57,0
20-10-1973,26.8,22.4,95.5,8.6,0.5
21-10-1973,32,21.7,80.25,4.63,52.2
22-10-1973,34.5,23.6,74.25,4.93,0
23-10-1973,34.4,24.9,74,5.77,0
24-10-1973,33.1,23.6,87.75,7.8,0
25-10-1973,30.1,23.4,90.75,1.67,22.9
26-10-1973,31.9,23.3,82.75,5.0,4
27-10-1973,33.3,24.1,79.25,3.8,2.6
28-10-1973,28,23.8,86.25,6.67,6.1
29-10-1973,32.2,23.4,83.5,3.73,13.9
30-10-1973,34.6,24.5,77.5,3.0,0
31-10-1973,33.1,24.6,78,1.67,0
1-10-1974,33.8,24.1,75.75,4.47,0
2-10-1974,31.5,24.8,81.75,4.0,0
3-10-1974,32,23.4,79.5,3.33,0
4-10-1974,32,23.8,81.75,3.33,0.7
5-10-1974,33,25.1,82,1.83,4
6-10-1974,31.3,23.8,89,3.87,0
7-10-1974,31.8,23.5,83.5,2.67,0
8-10-1974,32.7,24.1,80.25,1.43,8.2
9-10-1974,31,24,82.25,3.17,0
10-10-1974,33,23.6,84.5,0.0,0
11-10-1974,28,23.4,90.5,2.77,4
12-10-1974,28.4,22.3,83.5,3.03,3.5
13-10-1974,33.3,22.8,76.25,5.53,0
14-10-1974,33,24.6,78,2.6,0
15-10-1974,33.3,23.9,76.75,2.0,0
16-10-1974,32.8,24.5,77.75,2.67,0
17-10-1974,33.2,23.3,69.25,4.83,0
18-10-1974,34.6,23.1,66.25,2.8,0
19-10-1974,34.6,24.3,67.75,5.27,0
20-10-1974,34.5,25.3,71,7.23,0
21-10-1974,34.5,24.6,69.25,4.47,0
22-10-1974,35.3,25.8,70,3.67,0
23-10-1974,31.5,25,83,2.6,0.2
24-10-1974,34,24.6,74.75,3.87,3.8
25-10-1974,34.2,24.2,68.5,4.67,0
26-10-1974,34.5,24.9,63.5,3.9,0
27-10-1974,35.8,24.7,62.75,1.67,0
28-10-1974,34.2,24.5,71,3.33,0
29-10-1974,36,25,70.75,3.93,0
30-10-1974,35.3,25.4,67.5,7.0,0
31-10-1974,33.7,24,75.25,2.57,0
1-10-1975,33.8,24.9,75.5,6.67,0
2-10-1975,33.8,23.2,73.25,1.67,0
3-10-1975,34.4,23.5,73.5,4.87,0
4-10-1975,34.4,25.1,71.5,1.1,0
5-10-1975,35.2,24,67.25,3.67,0
6-10-1975,35.3,23.9,72.75,3.07,0
7-10-1975,34.9,24.5,70.75,4.77,0
8-10-1975,34.9,23.6,68.25,3.93,0
9-10-1975,33.6,25.6,76,5.53,0
10-10-1975,32.4,25.4,76,4.03,0.4
11-10-1975,34.7,25.4,69.5,2.7,0
12-10-1975,34.9,24.1,67.75,3.07,0
13-10-1975,34.3,25.9,75,1.23,0
14-10-1975,34.8,25.6,65.5,5.33,0
15-10-1975,34.4,24.5,75.25,2.33,0
16-10-1975,32.5,22.7,80.5,2.9,9
17-10-1975,35,23.5,75,2.57,0
18-10-1975,34.2,23.9,73.5,1.83,6.3
19-10-1975,35.2,23.5,68.75,2.47,0
20-10-1975,34,23.9,81,4.0,0
21-10-1975,32.8,23.6,75.25,3.67,14.2
22-10-1975,32.8,23.6,81.75,2.0,0.4
23-10-1975,31.8,23.5,91.25,1.0,0
24-10-1975,33.2,22.1,81.75,3.0,8.6
25-10-1975,27.6,21.8,88.25,2.93,0.1
26-10-1975,32.1,22.7,83.5,2.23,6
27-10-1975,32.3,23.4,83.75,1.1,2
28-10-1975,32.3,23.5,84.5,3.07,0.5
29-10-1975,30.6,23.3,85.75,3.33,7.5
30-10-1975,32.3,23.3,81.75,6.1,0
31-10-1975,33.5,23.1,73.5,3.67,0
1-10-1976,33,24.4,90.5,2.57,0.3
2-10-1976,32.5,23.8,73.25,3.13,27.7
3-10-1976,34,24.4,76,7.77,0
