Year,RAINFALL
1970,179.6
1971,261.90000000000003
1972,73.8
1973,308.7
1974,194.89999999999998
1975,99.89999999999999
1976,156.99999999999997
1977,84.69999999999999
1978,45.7
1983,69.5
1984,100.4
1985,136.9
1986,321.8
1987,128.3
1988,226.89999999999998
1989,326.4
1990,116.9
1991,37.9
1992,71.19999999999999
1993,256.3
1994,207.29999999999998
1995,311.99999999999994
1996,163.00000000000003
1997,182.29999999999998
1998,153.6
1999,203.5
2000,169.7
2001,55.0
2002,81.2
2003,119.60000000000001
2004,13.3
2005,211.60000000000005
2006,294.00000000000006
2007,226.2
2008,280.8
2009,132.3
2010,140.6
