,1,2,3,4,5,6,7,8,9,10,11,12
1,1.0,-0.1,-0.08,0.2,-0.22,-0.03,0.01,-0.04,-0.07,-0.32,0.43,0.15
2,-0.1,1.0,-0.12,-0.07,0.14,-0.01,-0.2,-0.31,-0.26,0.11,0.3,0.09
3,-0.08,-0.12,1.0,-0.16,-0.34,-0.27,0.03,0.32,0.02,-0.14,0.01,0.14
4,0.2,-0.07,-0.16,1.0,0.1,0.12,-0.23,-0.11,0.25,-0.15,0.31,-0.25
5,-0.22,0.14,-0.34,0.1,1.0,0.14,-0.15,0.03,0.16,0.03,-0.06,-0.05
6,-0.03,-0.01,-0.27,0.12,0.14,1.0,0.09,-0.38,0.09,0.16,0.1,0.22
7,0.01,-0.2,0.03,-0.23,-0.15,0.09,1.0,0.06,0.05,0.07,0.09,0.05
8,-0.04,-0.31,0.32,-0.11,0.03,-0.38,0.06,1.0,0.3,-0.2,-0.29,-0.02
9,-0.07,-0.26,0.02,0.25,0.16,0.09,0.05,0.3,1.0,0.09,-0.1,-0.18
10,-0.32,0.11,-0.14,-0.15,0.03,0.16,0.07,-0.2,0.09,1.0,0.12,-0.03
11,0.43,0.3,0.01,0.31,-0.06,0.1,0.09,-0.29,-0.1,0.12,1.0,0.24
12,0.15,0.09,0.14,-0.25,-0.05,0.22,0.05,-0.02,-0.18,-0.03,0.24,1.0
