,10,11,12,Output
1971,98.8,179.6,143.4,287.7999999999999
1972,182.3,261.90000000000003,94.3,197.7
1973,94.2,73.8,169.10000000000005,
1974,181.8,308.7,220.9,313.10000000000014
1975,24.4,194.9,285.1,329.5
1976,55.0,99.9,213.6,294.2999999999999
1977,123.0,156.99999999999997,176.29999999999995,196.7
1978,190.79999999999995,84.69999999999997,227.30000000000004,295.4
1979,115.6,45.7,126.0,
1980,,,,
1981,,,,
1982,,,,
1983,,,,32.6
1984,195.8,69.5,372.10000000000014,268.00000000000006
1985,123.2,100.4,148.1,269.7
1986,161.7,136.9,391.39999999999986,267.1
1987,214.6,321.8,246.9,291.50000000000006
1988,46.30000000000001,128.3,195.2,269.7
1989,111.5,226.9,412.1,291.99999999999994
1990,185.6,326.4,220.1,234.30000000000004
1991,56.0,116.9,167.30000000000004,278.5
1992,79.4,37.9,137.9,236.50000000000003
1993,87.39999999999998,71.19999999999997,265.6,436.5
1994,99.8,256.3,251.29999999999995,371.1
1995,91.8,207.3,222.50000000000009,286.0
1996,81.0,311.99999999999994,160.5,571.3
1997,186.0,163.00000000000003,142.2,220.6
1998,60.9,182.3,261.5,302.6
1999,73.5,153.6,191.0,411.6
2000,132.3,203.5,198.3,350.2
2001,47.2,169.7,192.3,348.4
2002,28.1,55.0,213.0,380.8
2003,216.1,81.2,311.2,105.8
2004,96.9,119.6,89.9,179.59999999999997
2005,66.0,13.3,140.0,165.70000000000005
2006,75.19999999999997,211.60000000000005,291.7999999999999,173.3
2007,66.0,294.00000000000006,317.39999999999986,414.39999999999986
2008,28.5,226.2,327.9,397.40000000000015
2009,,280.8,458.1,310.7999999999999
2010,26.0,132.3,262.40000000000003,295.8
