,Arquitetura,FA,Alpha,TA,FV,MAPE Teste,Acurácia
1,"(4, 1)",logistic,0.0001,0.003,0.0462,19.483,80.517
2,"(7, 3)",tanh,0.0001,0.003,0.1,20.521,79.479
3,"(5,)",logistic,0.0001,0.003,0.1,21.134,78.866
4,"(7, 1)",tanh,0.0001,0.001,0.0462,21.448,78.552
5,"(7, 5)",tanh,0.0001,0.003,0.0462,21.647,78.353
6,"(7, 6)",tanh,0.01,0.003,0.1,24.461,75.539
7,"(6, 3)",tanh,0.0001,0.001,0.1,24.632,75.368
8,"(4,)",logistic,0.0001,0.001,0.1,24.786,75.214
9,"(1, 1)",tanh,0.0001,0.001,0.1,24.872,75.128
10,"(1,)",logistic,0.0001,0.003,0.0462,25.137,74.863
11,"(2, 2)",tanh,0.0001,0.003,0.1,25.39,74.61
12,"(7, 2)",tanh,0.0001,0.003,0.1,25.51,74.49
13,"(2,)",tanh,0.01,0.003,0.1,25.804,74.196
14,"(5,)",logistic,0.0001,0.001,0.0462,26.102,73.898
15,"(5,)",tanh,0.01,0.001,0.0462,26.116,73.884
16,"(5, 6)",tanh,0.0001,0.003,0.1,26.197,73.803
17,"(7, 1)",tanh,0.0001,0.001,0.1,26.324,73.676
18,"(5, 7)",tanh,0.0001,0.001,0.1,26.698,73.302
19,"(6, 4)",tanh,0.01,0.001,0.0462,26.952,73.048
20,"(2, 4)",tanh,0.0001,0.003,0.0462,26.975,73.025
21,"(5, 5)",tanh,0.0001,0.003,0.1,27.145,72.855
22,"(6, 4)",tanh,0.0001,0.003,0.1,27.205,72.795
23,"(6,)",logistic,0.0001,0.001,0.0462,27.241,72.759
24,"(7,)",logistic,0.0001,0.003,0.1,27.415,72.585
25,"(7, 6)",tanh,0.0001,0.001,0.0462,27.534,72.466
26,"(6,)",tanh,0.0001,0.003,0.0462,27.793,72.207
27,"(5, 4)",tanh,0.01,0.003,0.1,27.836,72.164
28,"(2,)",logistic,0.0001,0.001,0.0462,27.954,72.046
