,Arquitetura,FA,Alpha,TA,FV,MSE,MAE
1,"(3, 9)",tanh,0.01,0.001,0.2,8343.61358,76.33317
2,"(3, 9)",logistic,0.01,0.003,0.2,8370.55497,78.69176
3,"(3, 9)",logistic,0.0001,0.003,0.2,8387.47614,78.31244
4,"(4, 8)",logistic,0.01,0.001,0.1,8397.34234,79.03374
5,"(5, 7)",logistic,0.01,0.003,0.2,8440.51421,78.29916
6,"(4, 8)",logistic,0.0001,0.003,0.2,8448.3373,78.73508
7,"(3, 9)",logistic,0.01,0.003,0.1,8467.32012,78.94412
8,"(5, 7)",logistic,0.0001,0.003,0.1,8498.98554,78.5785
9,"(5, 7)",logistic,0.0001,0.001,0.2,8505.51606,79.38744
10,"(4, 8)",logistic,0.0001,0.001,0.2,8520.77327,79.73967
11,"(4, 8)",logistic,0.01,0.003,0.2,8524.33395,78.1922
12,"(5, 7)",logistic,0.0001,0.003,0.2,8536.01505,78.89418
13,"(3, 9)",logistic,0.01,0.001,0.1,8557.85102,78.48386
14,"(3, 9)",logistic,0.01,0.001,0.2,8559.05026,78.90754
15,"(4, 8)",logistic,0.0001,0.003,0.1,8591.58046,79.31673
16,"(5, 7)",logistic,0.01,0.001,0.2,8594.47985,78.92776
17,"(3, 9)",logistic,0.0001,0.001,0.1,8661.64748,80.13052
18,"(3, 9)",logistic,0.0001,0.003,0.1,8681.35922,79.89675
19,"(5, 7)",logistic,0.0001,0.001,0.1,8704.51889,79.24022
20,"(4, 8)",logistic,0.01,0.001,0.2,8736.49993,80.70105
21,"(4, 8)",logistic,0.01,0.003,0.1,8782.00653,79.80048
22,"(4, 8)",logistic,0.0001,0.001,0.1,8800.87051,79.93504
23,"(5, 7)",logistic,0.01,0.001,0.1,8829.03634,79.6676
24,"(3, 9)",logistic,0.0001,0.001,0.2,8935.82097,80.46304
25,"(3, 9)",tanh,0.0001,0.003,0.2,9013.85897,81.40788
26,"(5, 7)",logistic,0.01,0.003,0.1,9107.63749,81.3037
27,"(4, 8)",tanh,0.0001,0.003,0.2,9187.87144,79.59419
28,"(3, 9)",tanh,0.0001,0.001,0.2,9412.4034,80.4563
29,"(5, 7)",tanh,0.01,0.001,0.2,9430.63608,81.52411
30,"(4, 8)",tanh,0.01,0.001,0.2,9495.7544,80.00039
31,"(4, 8)",tanh,0.0001,0.001,0.1,9537.2291,81.63287
32,"(3, 9)",tanh,0.01,0.003,0.2,9560.82733,82.56239
33,"(3, 9)",tanh,0.01,0.003,0.1,9641.00356,82.3902
34,"(4, 8)",tanh,0.01,0.003,0.1,9669.45583,79.50046
35,"(5, 7)",tanh,0.01,0.003,0.1,9761.09486,83.83853
36,"(4, 8)",tanh,0.01,0.003,0.2,9800.86889,83.15658
37,"(5, 7)",tanh,0.0001,0.001,0.1,9860.11177,80.8821
38,"(3, 9)",tanh,0.0001,0.003,0.1,9864.84606,83.5913
39,"(3, 9)",tanh,0.01,0.001,0.1,10031.25876,83.40637
40,"(5, 7)",tanh,0.0001,0.001,0.2,10086.68355,83.10167
41,"(3, 9)",tanh,0.0001,0.001,0.1,10141.01932,84.58966
42,"(4, 8)",tanh,0.01,0.001,0.1,10337.03241,83.36909
43,"(5, 7)",tanh,0.0001,0.003,0.1,10397.71434,84.26334
44,"(5, 7)",tanh,0.0001,0.003,0.2,10458.42198,86.21457
45,"(5, 7)",tanh,0.01,0.003,0.2,10547.07687,86.3066
46,"(5, 7)",tanh,0.01,0.001,0.1,10711.09575,85.1191
47,"(4, 8)",tanh,0.0001,0.003,0.1,10933.42924,86.68511
48,"(4, 8)",tanh,0.0001,0.001,0.2,11034.31691,83.83571
