,Norm,Year,from
0,0.0035160965080447033,2001,y
1,0.0052414831224527475,2002,y
2,-0.009403002030701942,2003,y
3,-0.005472954742328066,2004,y
4,-0.00621316690097843,2005,y
5,-0.005808446584018516,2006,y
6,0.007030772944801828,2007,y
7,0.0061254774989704455,2008,y
8,0.0015137959925588251,2009,y
9,0.0007150058932958447,2010,y
10,-0.0029594285633138782,2011,y
11,0.004410741419219245,2012,y
12,0.001716156151038782,2013,y
13,-0.0015482327212826084,2014,y
14,0.0011357020122410091,2015,y
0,0.00012208907129488376,2001,net_0
1,0.00020201884319627147,2002,net_0
2,0.00012191105317735373,2003,net_0
3,0.00015294698727016248,2004,net_0
4,0.0001511240829497381,2005,net_0
5,0.00017109224952072295,2006,net_0
6,0.00015099208745201695,2007,net_0
7,0.00016841154942537004,2008,net_0
8,0.00017071878031601172,2009,net_0
9,0.00014635169707395874,2010,net_0
10,9.634035255388917e-05,2011,net_0
11,0.00015812046229182058,2012,net_0
12,0.00018772020102107712,2013,net_0
13,0.00017248450029683574,2014,net_0
14,0.00015470832401018146,2015,net_0
0,-0.0006842279139954097,2001,net_1
1,0.004359316926041641,2002,net_1
2,-0.0009774650951250227,2003,net_1
3,-0.0009955095310987191,2004,net_1
4,-0.0033074277821741258,2005,net_1
5,-0.0008256495530573546,2006,net_1
6,0.0003338836823612093,2007,net_1
7,0.0038645630945997114,2008,net_1
8,0.000954576480388443,2009,net_1
9,0.0026579357961917308,2010,net_1
10,-0.003367915371776102,2011,net_1
11,0.00023982638528619732,2012,net_1
12,0.0009264061848179919,2013,net_1
13,-0.004718358841245156,2014,net_1
14,0.0025374403563573414,2015,net_1
0,0.00014591668781548106,2001,net_2
1,6.007689956545603e-05,2002,net_2
2,0.00017616556865083371,2003,net_2
3,0.00019516730707917762,2004,net_2
4,0.00018506745359597038,2005,net_2
5,0.00010684922310178271,2006,net_2
6,0.00013614246735553504,2007,net_2
7,7.021553252063717e-05,2008,net_2
8,0.0001332608467824875,2009,net_2
9,9.511172048456279e-05,2010,net_2
10,9.1095219893058e-05,2011,net_2
11,0.00016498964375072367,2012,net_2
12,8.474174847998214e-05,2013,net_2
13,7.382580780037479e-05,2014,net_2
14,0.00020718238824101592,2015,net_2
