,Norm,Year,from
0,66.02666666666664,2001,y
1,98.42666666666666,2002,y
2,-176.57333333333332,2003,y
3,-102.77333333333334,2004,y
4,-116.67333333333333,2005,y
5,-109.07333333333328,2006,y
6,132.02666666666664,2007,y
7,115.0266666666666,2008,y
8,28.426666666666637,2009,y
9,13.426666666666689,2010,y
10,-55.57333333333332,2011,y
11,82.82666666666667,2012,y
12,32.22666666666666,2013,y
13,-29.07333333333333,2014,y
14,21.326666666666565,2015,y
0,2.292637416403845,2001,net_0
1,3.793590645076864,2002,net_0
2,2.289294520985619,2003,net_0
3,2.8720997057540187,2004,net_0
4,2.8378684792633617,2005,net_0
5,3.2128386983999437,2006,net_0
6,2.8353898150089547,2007,net_0
7,3.1624994397293684,2008,net_0
8,3.2058255442861943,2009,net_0
9,2.7482507083336265,2010,net_0
10,1.8091176763979522,2011,net_0
11,2.9692492891007234,2012,net_0
12,3.525085022854194,2013,net_0
13,3.2389829403741,2014,net_0
14,2.905174791592791,2015,net_0
0,-12.848705460171399,2001,net_1
1,81.86099696398034,2002,net_1
2,-18.355230542295725,2003,net_1
3,-18.694076178784186,2004,net_1
4,-62.10820186477859,2005,net_1
5,-15.504377567132225,2006,net_1
6,6.269801340851732,2007,net_1
7,72.57031161563121,2008,net_1
8,17.925418979326334,2009,net_1
9,49.911781555206794,2010,net_1
10,-63.24406201736035,2011,net_1
11,4.503555793458327,2012,net_1
12,17.396425900986177,2013,net_1
13,-88.60322966443802,2014,net_1
14,47.649069987820695,2015,net_1
0,2.740081930474229,2001,net_2
1,1.1281480507999595,2002,net_2
2,3.3081075143528156,2003,net_2
3,3.6649297592556285,2004,net_2
4,3.47527067060657,2005,net_2
5,2.006457451094516,2006,net_2
6,2.556537708989179,2007,net_2
7,1.3185353558855328,2008,net_2
8,2.502425485220263,2009,net_2
9,1.7860459319473136,2010,net_2
10,1.7106224772398,2011,net_2
11,3.098241526208589,2012,net_2
12,1.5913144496564966,2013,net_2
13,1.3863305491985578,2014,net_2
14,3.890553759345093,2015,net_2
