Year,y,net_0,net_1,net_2,net_3,net_4
2001,348.3999999999999,388.4780893534126,277.1550451835404,266.98054451307297,286.3600973533194,285.7931412202298
2002,380.79999999999995,385.79978581718126,282.0339251586411,275.51241664207646,291.0303672480724,285.7935837440779
2003,105.79999999999998,445.9295806007769,259.84829333058707,267.2158129750443,322.5900672124037,285.7818659984043
2004,179.59999999999994,325.2688978164313,271.7649529189968,268.3263657103392,306.1685003639955,285.78798336232325
2005,165.69999999999996,338.8958615918895,273.0762249459102,317.91806267768004,299.0942063120684,285.79255023478214
2006,173.3,399.00140149031984,274.66492977314164,255.7648147373318,296.3673704804063,285.79004071407377
2007,414.3999999999999,374.48984749289025,276.501082676853,263.7683205404866,284.7954653096973,285.791712484295
2008,397.39999999999986,470.2818693984612,268.83921398864567,243.79321863295752,302.97354553641105,285.7878297396338
2009,310.7999999999999,488.2011865485895,267.72966478463604,248.19978838558833,305.94527545956595,285.78572213769195
2010,295.79999999999995,518.4510004531934,260.6205822051245,263.6728024956988,309.6771478241044,285.7843798390701
2011,226.79999999999995,400.18390827117577,269.63793426784486,295.87531741711166,287.5646771102611,285.79319804743267
2012,365.19999999999993,279.26314595771396,290.33301544250514,259.0496232481231,282.5809071594136,285.7966001761614
2013,314.59999999999997,396.0272959875115,275.19143269361086,270.90410819742755,288.0519356792073,285.79298291220573
2014,253.29999999999995,407.39984611047845,277.04072665366226,245.69027703507456,273.1040820878328,285.7949216785487
2015,303.6999999999999,397.67872940159214,273.3799680405019,276.87915498895046,306.45819754090917,285.78800145394376
