,Norm,Year,from
0,0.018553231372214884,2001,y
1,0.020278617986622928,2002,y
2,0.00563413283346824,2003,y
3,0.009564180121842115,2004,y
4,0.00882396796319175,2005,y
5,0.009228688280151665,2006,y
6,0.02206790780897201,2007,y
7,0.021162612363140626,2008,y
8,0.016550930856729006,2009,y
9,0.015752140757466025,2010,y
10,0.012077706300856302,2011,y
11,0.019447876283389426,2012,y
12,0.016753291015208963,2013,y
13,0.013488902142887572,2014,y
14,0.01617283687641119,2015,y
0,0.015192953243986632,2001,net_0
1,0.015196203872933828,2002,net_0
2,0.015194655280344818,2003,net_0
3,0.015178239437341423,2004,net_0
4,0.015178724238132983,2005,net_0
5,0.015193061891235732,2006,net_0
6,0.015188465985428626,2007,net_0
7,0.015200729605888738,2008,net_0
8,0.015191218759751345,2009,net_0
9,0.01520376649294021,2010,net_0
10,0.015213592638909965,2011,net_0
11,0.015180561576370682,2012,net_0
12,0.015193831598990078,2013,net_0
13,0.015202362119857975,2014,net_0
14,0.015174962300488343,2015,net_0
0,0.014733203891249214,2001,net_1
1,0.014071636190680747,2002,net_1
2,0.013252966002203631,2003,net_1
3,0.014091072995020132,2004,net_1
4,0.01570644721721179,2005,net_1
5,0.013784213799809264,2006,net_1
6,0.014153926905455527,2007,net_1
7,0.013141502568097513,2008,net_1
8,0.013546447455737659,2009,net_1
9,0.013374840605582916,2010,net_1
10,0.014666932549557088,2011,net_1
11,0.015043977508376105,2012,net_1
12,0.014430836700270705,2013,net_1
13,0.014242048508831318,2014,net_1
14,0.014663462755485801,2015,net_1
0,0.015618775785646577,2001,net_2
1,0.0163650723979622,2002,net_2
2,0.014708579219002704,2003,net_2
3,0.01400444580892457,2004,net_2
4,0.0146507847263192,2005,net_2
5,0.015643402351493196,2006,net_2
6,0.015107782556881777,2007,net_2
7,0.01604933274725101,2008,net_2
8,0.015053634211123545,2009,net_2
9,0.016000039371885544,2010,net_2
10,0.017617520531167274,2011,net_2
11,0.014673244418021203,2012,net_2
12,0.01595173434734004,2013,net_2
13,0.017025868660324073,2014,net_2
14,0.013579206214612116,2015,net_2
