Year,y,net_0,net_1,net_2
2001,348.3999999999999,285.29935319687854,276.6659959514342,293.29561921318566
2002,380.79999999999995,285.36039480750054,264.2428130430793,307.3098755178933
2003,105.79999999999998,285.3313147164271,248.86949677578065,276.20358400612037
2004,179.59999999999994,285.02305145017215,264.607805129686,262.9810851783091
2005,165.69999999999996,285.0321552333564,294.94194842368984,275.1182959047124
2006,173.3,285.30139341838105,258.84548041833824,293.7580667172798
2007,414.3999999999999,285.2150896607729,265.78810100140606,283.69998396614875
2008,397.39999999999986,285.44538083122103,246.7763918247623,301.3807900609783
2009,310.7999999999999,285.2667823581146,254.38060890282404,282.68316467016234
2010,295.79999999999995,285.5024087110284,251.1581068278782,300.45513934101547
2011,226.79999999999995,285.68692801050685,275.4215261886028,330.8288475424715
2012,365.19999999999993,285.0666575057192,282.5018272432898,275.5400529793693
2013,314.59999999999997,285.31584729847526,270.9880238923634,299.5480482680902
2014,253.29999999999995,285.47603683154097,267.44288371823797,319.7185720510295
2015,303.6999999999999,284.96151206349026,275.35636900761455,254.99576598047213
