,Arquitetura,FA,Alpha,TA,FV,MSE,NMSE
1,"(3, 7)",tanh,0.0001,0.001,0.0462,1e-05,0.0003930817610062893
2,"(5, 2)",tanh,0.0001,0.003,0.0462,1e-05,0.0003930817610062893
3,"(5, 1)",tanh,0.0001,0.001,0.0462,1e-05,0.0003930817610062893
4,"(7, 1)",tanh,0.0001,0.003,0.1,1e-05,0.0003930817610062893
5,"(2,)",logistic,0.0001,0.003,0.0462,1e-05,0.0003930817610062893
6,"(1, 1)",logistic,0.0001,0.001,0.1,2e-05,0.0007861635220125786
7,"(5, 2)",tanh,0.0001,0.001,0.0462,2e-05,0.0007861635220125786
8,"(5, 2)",tanh,0.01,0.001,0.0462,2e-05,0.0007861635220125786
9,"(5, 2)",tanh,0.01,0.003,0.0462,2e-05,0.0007861635220125786
10,"(5, 3)",logistic,0.0001,0.001,0.1,2e-05,0.0007861635220125786
11,"(5, 3)",logistic,0.01,0.001,0.1,2e-05,0.0007861635220125786
12,"(5, 3)",logistic,0.01,0.003,0.1,2e-05,0.0007861635220125786
13,"(5, 3)",logistic,0.01,0.003,0.0462,2e-05,0.0007861635220125786
14,"(5, 3)",tanh,0.01,0.001,0.1,2e-05,0.0007861635220125786
15,"(5, 3)",tanh,0.01,0.001,0.0462,2e-05,0.0007861635220125786
16,"(5, 3)",tanh,0.01,0.003,0.1,2e-05,0.0007861635220125786
17,"(5, 3)",tanh,0.01,0.003,0.0462,2e-05,0.0007861635220125786
18,"(5, 3)",logistic,0.01,0.001,0.0462,2e-05,0.0007861635220125786
19,"(5, 2)",logistic,0.01,0.003,0.0462,2e-05,0.0007861635220125786
20,"(5, 2)",logistic,0.01,0.001,0.0462,2e-05,0.0007861635220125786
21,"(5, 2)",logistic,0.01,0.001,0.1,2e-05,0.0007861635220125786
22,"(5, 2)",logistic,0.0001,0.003,0.0462,2e-05,0.0007861635220125786
23,"(5, 2)",logistic,0.0001,0.001,0.0462,2e-05,0.0007861635220125786
24,"(5, 2)",logistic,0.0001,0.001,0.1,2e-05,0.0007861635220125786
25,"(5, 1)",tanh,0.01,0.003,0.0462,2e-05,0.0007861635220125786
26,"(5, 1)",tanh,0.01,0.003,0.1,2e-05,0.0007861635220125786
27,"(5, 1)",tanh,0.01,0.001,0.0462,2e-05,0.0007861635220125786
28,"(5, 1)",tanh,0.01,0.001,0.1,2e-05,0.0007861635220125786
29,"(5, 1)",tanh,0.0001,0.003,0.0462,2e-05,0.0007861635220125786
30,"(5, 1)",logistic,0.01,0.003,0.0462,2e-05,0.0007861635220125786
31,"(5, 1)",logistic,0.01,0.003,0.1,2e-05,0.0007861635220125786
