,Arquitetura,FA,Alpha,TA,FV,MSE,NMSE
1,"(3, 3)",tanh,0.01,0.003,0.1,0.15143,0.00035904620748996517
2,"(2, 7)",tanh,0.01,0.001,0.0462,0.1529,0.0003625316326039469
3,"(1, 7)",tanh,0.01,0.001,0.1,0.154,0.0003651397738457019
4,"(1, 3)",logistic,0.01,0.001,0.0462,0.15734,0.00037305903907066713
5,"(5, 2)",tanh,0.01,0.001,0.0462,0.15794,0.0003744816615661698
6,"(3, 7)",logistic,0.0001,0.001,0.0462,0.15837,0.00037550120768794685
7,"(6, 6)",logistic,0.0001,0.003,0.1,0.15876,0.0003764259123100236
8,"(1, 4)",logistic,0.0001,0.001,0.0462,0.15879,0.00037649704343479867
9,"(3, 7)",tanh,0.0001,0.001,0.1,0.1588,0.00037652075380972377
10,"(5, 3)",tanh,0.01,0.003,0.0462,0.16055,0.00038067006942160675
11,"(4, 2)",tanh,0.01,0.001,0.1,0.16112,0.00038202156079233436
12,"(5, 4)",tanh,0.0001,0.001,0.0462,0.16156,0.0003830648172890364
13,"(3, 7)",logistic,0.01,0.003,0.0462,0.16183,0.0003837049974120126
14,"(3, 3)",logistic,0.01,0.001,0.1,0.16469,0.0003904861646405756
15,"(4, 7)",logistic,0.01,0.003,0.0462,0.1647,0.0003905098750155007
16,"(2, 6)",tanh,0.01,0.001,0.0462,0.16612,0.0003938767482548571
17,"(2,)",tanh,0.01,0.003,0.0462,0.16716,0.00039634262724706185
18,"(4, 1)",tanh,0.01,0.003,0.0462,0.16749,0.0003971250696195884
19,"(6, 1)",tanh,0.01,0.001,0.0462,0.16797,0.0003982631676159906
20,"(4, 5)",logistic,0.01,0.001,0.0462,0.1697,0.0004023650624780234
21,"(1, 5)",tanh,0.01,0.001,0.0462,0.17006,0.00040321863597532503
22,"(3, 6)",tanh,0.01,0.001,0.1,0.17054,0.0004043567339717273
23,"(2, 5)",tanh,0.01,0.001,0.1,0.17068,0.0004046886792206779
24,"(1,)",tanh,0.0001,0.001,0.0462,0.1722,0.0004082926562092848
25,"(2, 5)",tanh,0.0001,0.001,0.0462,0.17264,0.0004093359127059868
26,"(7, 3)",tanh,0.01,0.003,0.1,0.17379,0.0004120626058223671
27,"(1, 2)",tanh,0.01,0.001,0.0462,0.17406,0.0004127027859453433
28,"(7, 5)",logistic,0.0001,0.001,0.1,0.17504,0.0004150264026879978
29,"(4, 3)",logistic,0.0001,0.003,0.1,0.17512,0.00041521608568739814
30,"(5, 2)",tanh,0.0001,0.003,0.0462,0.1757,0.0004165912874330508
31,"(3, 1)",logistic,0.0001,0.003,0.0462,0.17584,0.0004169232326820014
32,"(6, 1)",tanh,0.0001,0.003,0.1,0.18081,0.00042870728901974907
33,"(5, 1)",logistic,0.0001,0.001,0.0462,0.18183,0.0004311257472621037
34,"(7, 3)",logistic,0.0001,0.001,0.0462,0.18314,0.0004342318063772847
35,"(6,)",logistic,0.01,0.003,0.0462,0.1835,0.0004350853798745863
36,"(3, 5)",logistic,0.0001,0.001,0.0462,0.18355,0.00043520393174921153
37,"(7,)",tanh,0.01,0.001,0.1,0.18476,0.0004380728871151421
38,"(1, 3)",tanh,0.01,0.001,0.1,0.18523,0.0004391872747366192
39,"(2, 7)",tanh,0.0001,0.003,0.0462,0.18651,0.0004422222027270251
40,"(3, 1)",tanh,0.0001,0.003,0.0462,0.18663,0.00044250672722612557
41,"(4, 7)",logistic,0.0001,0.003,0.1,0.18692,0.0004431943280989519
42,"(4, 3)",logistic,0.0001,0.001,0.1,0.18786,0.0004454231033419062
43,"(1, 7)",tanh,0.0001,0.003,0.0462,0.18897,0.00044805495495858625
44,"(5, 1)",logistic,0.01,0.001,0.0462,0.18925,0.00044871884545648756
45,"(1,)",logistic,0.0001,0.001,0.1,0.19071,0.0004521805601955442
46,"(4, 4)",tanh,0.01,0.003,0.0462,0.19076,0.00045229911207016947
47,"(1, 3)",logistic,0.0001,0.001,0.0462,0.19219,0.0004556896956844509
