,Norm,Year,from,pca_1
0,,2001,y,-0.21712258983168956
1,,2002,y,-0.2523782048025454
2,,2003,y,-1.140993552603837
3,,2004,y,-0.495989348038901
4,,2005,y,0.29132109222400104
5,,2006,y,-0.5241737885652993
6,,2007,y,-0.33289187459010045
7,,2008,y,-0.8963744171453625
8,,2009,y,-0.8517662642709977
9,,2010,y,-0.9482950260971386
10,,2011,y,-0.06273241355205195
11,,2012,y,0.024074804812948124
12,,2013,y,-0.13960598380259542
13,,2014,y,-0.03792737189395326
14,,2015,y,-0.4638476152388544
0,0.15057877589654745,2001,net_0,
1,0.14764429001504947,2002,net_0,
2,0.1509131200583131,2003,net_0,
3,0.15118333955410435,2004,net_0,
4,0.1509573154944573,2005,net_0,
5,0.14885867171591335,2006,net_0,
6,0.1502055525602448,2007,net_0,
7,0.1480374853697182,2008,net_0,
8,0.14935626788444237,2009,net_0,
9,0.1486605812023129,2010,net_0,
10,0.14979917025204734,2011,net_0,
11,0.15103915074445293,2012,net_0,
12,0.14827093635703129,2013,net_0,
13,0.14797023286924965,2014,net_0,
14,0.15167884367874918,2015,net_0,
0,0.16958061724986942,2001,net_1,
1,0.16960999305543698,2002,net_1,
2,0.1696632508531892,2003,net_1,
3,0.16969744641427634,2004,net_1,
4,0.16974310638487758,2005,net_1,
5,0.1695859381411175,2006,net_1,
6,0.1695508491227186,2007,net_1,
7,0.16963619791270737,2008,net_1,
8,0.16971975223006922,2009,net_1,
9,0.16965911322051458,2010,net_1,
10,0.16928235309886958,2011,net_1,
11,0.1696709841421341,2012,net_1,
12,0.1696262515942384,2013,net_1,
13,0.16935404246070881,2014,net_1,
14,0.16988582120307075,2015,net_1,
0,0.27622761262615203,2001,net_2,
1,0.2750717697946233,2002,net_2,
2,0.2761802307221888,2003,net_2,
3,0.2759691938626959,2004,net_2,
4,0.2767851137615239,2005,net_2,
5,0.2759470175117392,2006,net_2,
6,0.275592877831238,2007,net_2,
7,0.2755046167319693,2008,net_2,
8,0.2759020657210196,2009,net_2,
9,0.2758949919009668,2010,net_2,
10,0.27597064965490703,2011,net_2,
11,0.2758645083721878,2012,net_2,
12,0.2758965837223658,2013,net_2,
13,0.27595258428217107,2014,net_2,
14,0.2759766467269208,2015,net_2,
