Year,y,net_0,net_1,net_2
2001,-4077.2148408953985,2827.628485295726,3184.4526629649476,5187.112600938933
2002,-4739.258881064118,2772.523535618605,3185.0042935922174,5165.407721911353
2003,-21426.03332821589,2833.906933703026,3186.0043898215276,5186.222844593549
2004,-9313.886373213698,2838.9812234827928,3186.6465277458465,5182.259910031248
2005,5470.54399821918,2834.7368532811165,3187.5039489377846,5197.581580259401
2006,-9843.145071194615,2795.327680950107,3184.5525807891604,5181.843473642443
2007,-6251.1767778027415,2820.6199481973003,3183.8936651660583,5175.193297066119
2008,-16832.477354922474,2779.9071152667157,3185.4963788839837,5173.5358948396115
2009,-15994.8076169865,2804.6717408412123,3187.0653952771313,5180.999350935594
2010,-17807.463318062506,2791.6078580495123,3185.9266917001105,5180.866515913114
2011,-1178.014354645852,2812.9887386610453,3178.851739431812,5182.287247479706
2012,452.086314699465,2836.2735883396344,3186.149608614651,5180.294084016291
2013,-2621.5770062386578,2784.290951286876,3185.309602937246,5180.896407772074
2014,-712.2153603734118,2778.6442209119173,3180.197950944174,5181.9480086843205
2015,-8710.316058001303,2848.2859981370234,3190.1839048797433,5182.399862896808
