Year,y,net_0,net_1,net_2
2001,3495.115561017837,10399.95888720896,10756.783064878184,12759.44300285217
2002,2833.0715208491174,10344.85393753184,10757.334695505453,12737.738123824589
2003,-13853.702926302654,10406.237335616262,10758.334791734764,12758.553246506786
2004,-1741.5559713004616,10411.311625396027,10758.976929659082,12754.590311944483
2005,13042.874400132418,10407.067255194352,10759.83435085102,12769.911982172634
2006,-2270.8146692813793,10367.658082863341,10756.882982702396,12754.173875555678
2007,1321.153624110494,10392.950350110536,10756.224067079294,12747.523698979356
2008,-9260.146953009236,10352.237517179952,10757.82678079722,12745.866296752847
2009,-8422.477215073264,10377.002142754449,10759.395797190367,12753.329752848831
2010,-10235.132916149269,10363.938259962748,10758.257093613347,12753.19691782635
2011,6394.3160472673835,10385.31914057428,10751.182141345047,12754.617649392942
2012,8024.4167166127,10408.60399025287,10758.480010527885,12752.624485929528
2013,4950.753395674578,10356.621353200113,10757.640004850482,12753.226809685308
2014,6860.115041539823,10350.974622825153,10752.52835285741,12754.278410597557
2015,-1137.9856560880673,10420.616400050258,10762.51430679298,12754.730264810043
