,Norm,Year,from
0,0.018553231372214884,2001,y
1,0.020278617986622928,2002,y
2,0.00563413283346824,2003,y
3,0.009564180121842115,2004,y
4,0.00882396796319175,2005,y
5,0.009228688280151665,2006,y
6,0.02206790780897201,2007,y
7,0.021162612363140626,2008,y
8,0.016550930856729006,2009,y
9,0.015752140757466025,2010,y
10,0.012077706300856302,2011,y
11,0.019447876283389426,2012,y
12,0.016753291015208963,2013,y
13,0.013488902142887572,2014,y
14,0.01617283687641119,2015,y
0,0.0206874967704071,2001,net_0
1,0.020544869947236255,2002,net_0
2,0.023746942263493,2003,net_0
3,0.017321438344929885,2004,net_0
4,0.018047110594719973,2005,net_0
5,0.021247891273501462,2006,net_0
6,0.019942585496788345,2007,net_0
7,0.025043766742558538,2008,net_0
8,0.025998018284230262,2009,net_0
9,0.027608901740999947,2010,net_0
10,0.021310862920758733,2011,net_0
11,0.014871509072003686,2012,net_0
12,0.02108951220484767,2013,net_0
13,0.021695130900954207,2014,net_0
14,0.02117745544889832,2015,net_0
0,0.014759247070226453,2001,net_1
1,0.015019060471533313,2002,net_1
2,0.013837616268190425,2003,net_1
3,0.014472210247891026,2004,net_1
4,0.014542038988726955,2005,net_1
5,0.01462664176783654,2006,net_1
6,0.014724421818517713,2007,net_1
7,0.014316406828518174,2008,net_1
8,0.014257320367264306,2009,net_1
9,0.013878742715307188,2010,net_1
10,0.014358940818591834,2011,net_1
11,0.015461009214975993,2012,net_1
12,0.014654679455843464,2013,net_1
13,0.014753159302904523,2014,net_1
14,0.014558214120505578,2015,net_1
0,0.014217427710192188,2001,net_2
1,0.014671772709180575,2002,net_2
2,0.014229956384731623,2003,net_2
3,0.014289096286709158,2004,net_2
4,0.016929986722919954,2005,net_2
5,0.013620160116800784,2006,net_2
6,0.014046368196464376,2007,net_2
7,0.012982640620764152,2008,net_2
8,0.013217302240105033,2009,net_2
9,0.014041281605232547,2010,net_2
10,0.015756151611272085,2011,net_2
11,0.01379508495122711,2012,net_2
12,0.014426367965184872,2013,net_2
13,0.013083664052053134,2014,net_2
14,0.014744555179831642,2015,net_2
0,0.015249440705987702,2001,net_3
1,0.015498145062842014,2002,net_3
2,0.01717878345398989,2003,net_3
3,0.016304291119796976,2004,net_3
4,0.015927566049933353,2005,net_3
5,0.0157823547522902,2006,net_3
6,0.015166119866958705,2007,net_3
7,0.01613415123420585,2008,net_3
8,0.016292403796892493,2009,net_3
9,0.01649113597665959,2010,net_3
10,0.015313587798228875,2011,net_3
11,0.015048188725312786,2012,net_3
12,0.015339535619605896,2013,net_3
13,0.01454352245600439,2014,net_3
14,0.016319718268910516,2015,net_3
0,0.015219248776265808,2001,net_4
1,0.01521927234184371,2002,net_4
2,0.015218648340561728,2003,net_4
3,0.015218974106543862,2004,net_4
4,0.015219217304710849,2005,net_4
5,0.015219083666024464,2006,net_4
6,0.01521917269225786,2007,net_4
7,0.015218965925724975,2008,net_4
8,0.01521885369028735,2009,net_4
9,0.01521878220929739,2010,net_4
10,0.015219251802466275,2011,net_4
11,0.015219432974915936,2012,net_4
12,0.015219240345940322,2013,net_4
13,0.015219343590430959,2014,net_4
14,0.01521897506997102,2015,net_4
