,Norm,Year,from
0,0.0035160965080447033,2001,y
1,0.0052414831224527475,2002,y
2,-0.009403002030701942,2003,y
3,-0.005472954742328066,2004,y
4,-0.00621316690097843,2005,y
5,-0.005808446584018516,2006,y
6,0.007030772944801828,2007,y
7,0.0061254774989704455,2008,y
8,0.0015137959925588251,2009,y
9,0.0007150058932958447,2010,y
10,-0.0029594285633138782,2011,y
11,0.004410741419219245,2012,y
12,0.001716156151038782,2013,y
13,-0.0015482327212826084,2014,y
14,0.0011357020122410091,2015,y
0,-1.2584109349643435e-05,2001,net_0
1,-0.0007683636429973092,2002,net_0
2,-0.0008385710949277633,2003,net_0
3,-0.00034684133505435283,2004,net_0
4,0.0006485849762366616,2005,net_0
5,-0.0001735485788470978,2006,net_0
6,-0.0001720609080471322,2007,net_0
7,-0.0010440345657504943,2008,net_0
8,-0.0010565770058810972,2009,net_0
9,-0.0010063105805751746,2010,net_0
10,0.0009605277920829228,2011,net_0
11,-0.00012359572336505947,2012,net_0
12,3.090241819959233e-05,2013,net_0
13,0.001107790597373988,2014,net_0
14,-0.0012938061156680322,2015,net_0
0,0.00015647552966921094,2001,net_1
1,0.00016640375752793,2002,net_1
2,0.000170705104916102,2003,net_1
3,0.00015644384983774969,2004,net_1
4,0.00014139498063981196,2005,net_1
5,0.00016160284050214038,2006,net_1
6,0.00015834780614851045,2007,net_1
7,0.00017523049458990393,2008,net_1
8,0.000168526470284076,2009,net_1
9,0.00017548385420934967,2010,net_1
10,0.00015746551834036442,2011,net_1
11,0.0001500938145498204,2012,net_1
12,0.0001585835362360212,2013,net_1
13,0.00015363782547392,2014,net_1
14,0.00015853487572671174,2015,net_1
0,0.0003659832568259705,2001,net_2
1,-0.00017083376398401712,2002,net_2
2,0.0005878713009263084,2003,net_2
3,0.00022323957941439848,2004,net_2
4,-1.9806895657135948e-05,2005,net_2
5,-5.979353248440622e-06,2006,net_2
6,0.0002796575787264513,2007,net_2
7,3.2149067994903524e-05,2008,net_2
8,0.0001247775164576817,2009,net_2
9,0.00023920202954986342,2010,net_2
10,0.0007029102765041886,2011,net_2
11,0.00019529576149966005,2012,net_2
12,-0.00024484882358782184,2013,net_2
13,-1.5314281007781927e-05,2014,net_2
14,0.0002734064122634286,2015,net_2
0,-0.0008185265280920492,2001,net_3
1,-0.0006649613006784946,2002,net_3
2,-0.0032830900171582564,2003,net_3
3,-0.001731786726680333,2004,net_3
4,0.0006908150361788004,2005,net_3
5,-0.0016600027462937358,2006,net_3
6,-0.0012744284345572662,2007,net_3
7,-0.002786394985404221,2008,net_3
8,-0.002245340795145094,2009,net_3
9,-0.002750066758627649,2010,net_3
10,-0.0003491024009029606,2011,net_3
11,-7.56088087422932e-05,2012,net_3
12,-0.0006477766854255315,2013,net_3
13,-0.00025098837177377903,2014,net_3
14,-0.0011427104127673046,2015,net_3
0,0.00011752264111510903,2001,net_4
1,0.00011783610939743346,2002,net_4
2,0.00011773749804339616,2003,net_4
3,0.00011794962795511586,2004,net_4
4,0.00011789800812211232,2005,net_4
5,0.00011753606023567377,2006,net_4
6,0.00011756697658217054,2007,net_4
7,0.0001174449790479308,2008,net_4
8,0.00011813759566816316,2009,net_4
9,0.00011754321237575881,2010,net_4
10,0.00011657842751495312,2011,net_4
11,0.00011801737415872635,2012,net_4
12,0.00011749192958815033,2013,net_4
13,0.0001169047948811671,2014,net_4
14,0.00011880064475940436,2015,net_4
