,Norm,Year,from
0,66.02666666666664,2001,y
1,98.42666666666666,2002,y
2,-176.57333333333332,2003,y
3,-102.77333333333334,2004,y
4,-116.67333333333333,2005,y
5,-109.07333333333328,2006,y
6,132.02666666666664,2007,y
7,115.0266666666666,2008,y
8,28.426666666666637,2009,y
9,13.426666666666689,2010,y
10,-55.57333333333332,2011,y
11,82.82666666666667,2012,y
12,32.22666666666666,2013,y
13,-29.07333333333333,2014,y
14,21.326666666666565,2015,y
0,-0.23630943901134427,2001,net_0
1,-14.42863983366067,2002,net_0
2,-15.74702344899151,2003,net_0
3,-6.5131253261846584,2004,net_0
4,12.179388117762525,2005,net_0
5,-3.258964633022341,2006,net_0
6,-3.231028555672267,2007,net_0
7,-19.60529868948908,2008,net_0
8,-19.840825647237594,2009,net_0
9,-18.896902606272857,2010,net_0
10,18.037175090849956,2011,net_0
11,-2.3209299316384326,2012,net_0
12,0.5802979699192246,2013,net_0
13,20.802534953727694,2014,net_0
14,-24.295608762460574,2015,net_0
0,2.9383600863403103,2001,net_1
1,3.1247963203624805,2002,net_1
2,3.2055687421565295,2003,net_1
3,2.9377651897931982,2004,net_1
4,2.6551715044466446,2005,net_1
5,3.0346427800853926,2006,net_1
6,2.9735184429791883,2007,net_1
7,3.2905483196070517,2008,net_1
8,3.1646574695824925,2009,net_1
9,3.2953060078848515,2010,net_1
10,2.956950489602699,2011,net_1
11,2.818521687142347,2012,net_1
12,2.9779450768545,2013,net_1
13,2.8850725418794587,2014,net_1
14,2.9770313103464834,2015,net_1
0,6.872579989980803,2001,net_2
1,-3.207984753597467,2002,net_2
2,11.039282437314588,2003,net_2
3,4.19208211807534,2004,net_2
4,-0.3719418094079616,2005,net_2
5,-0.11228268704051736,2006,net_2
6,5.251521876356793,2007,net_2
7,0.6037080584354962,2008,net_2
8,2.3431221150489296,2009,net_2
9,4.491831391699154,2010,net_2
10,13.199530336306255,2011,net_2
11,3.6673419277452157,2012,net_2
12,-4.5978691488615535,2013,net_2
13,-0.2875776944765321,2014,net_2
14,5.134134972047567,2015,net_2
0,-15.370618555123736,2001,net_3
1,-12.486909288661042,2002,net_3
2,-61.651177578204596,2003,net_3
3,-32.52018386829396,2004,net_3
4,12.972401075379985,2005,net_3
5,-31.172195571002284,2006,net_3
6,-23.931726915490167,2007,net_3
7,-52.32403959391462,2008,net_3
8,-42.16390758755263,2009,net_3
9,-51.64185362021344,2010,net_3
10,-6.555584525116154,2011,net_3
11,-1.4198124540862784,2012,net_3
12,-12.1642097095948,2013,net_3
13,-4.7131600405167315,2014,net_3
14,-21.45827321510955,2015,net_3
0,2.206887163915963,2001,net_4
1,2.212773596708764,2002,net_4
2,2.21092183325811,2003,net_4
3,2.2149052935923477,2004,net_4
4,2.213935955720274,2005,net_4
5,2.207139153529576,2006,net_4
6,2.207719713050631,2007,net_4
7,2.2054287945536637,2008,net_4
8,2.218435026495035,2009,net_4
9,2.2072734592769487,2010,net_4
10,2.1891563432467955,2011,net_4
11,2.2161774589022265,2012,net_4
12,2.2063104505781217,2013,net_4
13,2.1952850001965083,2014,net_4
14,2.2308860275499987,2015,net_4
