,Norm,Year,from
0,348.3999999999999,2001,y
1,380.79999999999995,2002,y
2,105.79999999999998,2003,y
3,179.59999999999994,2004,y
4,165.69999999999996,2005,y
5,173.3,2006,y
6,414.3999999999999,2007,y
7,397.39999999999986,2008,y
8,310.7999999999999,2009,y
9,295.79999999999995,2010,y
10,226.79999999999995,2011,y
11,365.19999999999993,2012,y
12,314.59999999999997,2013,y
13,253.29999999999995,2014,y
14,303.6999999999999,2015,y
0,284.66597074973714,2001,net_0
1,286.1669239784101,2002,net_0
2,284.6626278543189,2003,net_0
3,285.2454330390873,2004,net_0
4,285.21120181259664,2005,net_0
5,285.5861720317332,2006,net_0
6,285.20872314834224,2007,net_0
7,285.5358327730627,2008,net_0
8,285.5791588776195,2009,net_0
9,285.1215840416669,2010,net_0
10,284.1824510097312,2011,net_0
11,285.342582622434,2012,net_0
12,285.8984183561875,2013,net_0
13,285.6123162737074,2014,net_0
14,285.2785081249261,2015,net_0
0,269.5246278731619,2001,net_1
1,364.23433029731365,2002,net_1
2,264.01810279103756,2003,net_1
3,263.6792571545491,2004,net_1
4,220.2651314685547,2005,net_1
5,266.86895576620105,2006,net_1
6,288.64313467418503,2007,net_1
7,354.9436449489645,2008,net_1
8,300.29875231265964,2009,net_1
9,332.2851148885401,2010,net_1
10,219.12927131597294,2011,net_1
11,286.87688912679164,2012,net_1
12,299.76975923431945,2013,net_1
13,193.77010366889527,2014,net_1
14,330.022403321154,2015,net_1
0,285.1134152638075,2001,net_2
1,283.5014813841332,2002,net_2
2,285.6814408476861,2003,net_2
3,286.0382630925889,2004,net_2
4,285.84860400393984,2005,net_2
5,284.3797907844278,2006,net_2
6,284.9298710423225,2007,net_2
7,283.69186868921884,2008,net_2
8,284.87575881855355,2009,net_2
9,284.1593792652806,2010,net_2
10,284.08395581057306,2011,net_2
11,285.4715748595419,2012,net_2
12,283.9646477829898,2013,net_2
13,283.75966388253187,2014,net_2
14,286.2638870926784,2015,net_2
