Year,y,net_0,net_1,net_2
2001,66.02666666666664,-13.590759017141021,-29.334925897114324,7.92826399839132
2002,98.42666666666666,-31.33633101885013,-45.991777355902606,10.564856277662303
2003,-176.57333333333332,-61.7424216550299,-110.91577888819386,17.912509555290026
2004,-102.77333333333334,-30.591847030882416,-43.992936625733435,10.316332832386822
2005,-116.67333333333333,12.879083715832422,27.180739349772324,1.5199574961916276
2006,-109.07333333333328,-25.51150445698307,-41.2147710379564,13.965644338185514
2007,132.02666666666664,-20.49951830563241,-31.060957030960942,11.31444989787996
2008,115.0266666666666,-36.26830212401065,-89.1772561706287,16.473889063069308
2009,28.426666666666637,-67.48661500416375,-101.1622343147349,14.745488408971044
2010,13.426666666666689,-46.02859265473381,-104.72507756633442,16.144552694190615
2011,-55.57333333333332,14.189419576538949,10.927292742875094,12.79442334484438
2012,82.82666666666667,-15.427836679030962,-7.467808663910322,5.1403666158583565
2013,32.22666666666666,1.8596138290594326,-7.103702603932403,9.489240786096243
2014,-29.07333333333333,12.033049787848084,28.808753412320286,14.161155022687026
2015,21.326666666666565,-67.14996497266203,-89.21267980838823,5.596324998094457
