,Anomaly,Year,from
0,0.020278617986622928,2002,y
1,0.00563413283346824,2003,y
2,0.009564180121842115,2004,y
3,0.00882396796319175,2005,y
4,0.009228688280151665,2006,y
5,0.02206790780897201,2007,y
6,0.021162612363140626,2008,y
7,0.016550930856729006,2009,y
8,0.015752140757466025,2010,y
9,0.012077706300856302,2011,y
10,0.019447876283389426,2012,y
11,0.016753291015208963,2013,y
12,0.013488902142887572,2014,y
13,0.01617283687641119,2015,y
0,0.014898043229584046,2002,net_0
1,0.014064401957614436,2003,net_0
2,0.014451404145753632,2004,net_0
3,0.015312284298087953,2005,net_0
4,0.014051683405767401,2006,net_0
5,0.014417373384691123,2007,net_0
6,0.01443652900953768,2008,net_0
7,0.014406325250483243,2009,net_0
8,0.014595393007884372,2010,net_0
9,0.014244456386296123,2011,net_0
10,0.015251709787120205,2012,net_0
11,0.014669717165733842,2013,net_0
12,0.013372943826997663,2014,net_0
13,0.01572557567807048,2015,net_0
0,0.009446947188066102,2002,net_1
1,0.007610397873401453,2003,net_1
2,0.01126451421585739,2004,net_1
3,0.015131623455953258,2005,net_1
4,0.009095524028510549,2006,net_1
5,0.0128058823381631,2007,net_1
6,0.007497515259116294,2008,net_1
7,0.00619670745761608,2009,net_1
8,0.007383002270102024,2010,net_1
9,0.015753631942225677,2011,net_1
10,0.014433629643740287,2012,net_1
11,0.0112340394702935,2013,net_1
12,0.011551423623601842,2014,net_1
13,0.01057868836557696,2015,net_1
0,0.01571960180720313,2002,net_2
1,0.015892869947979844,2003,net_2
2,0.015428147398804284,2004,net_2
3,0.015023879158368766,2005,net_2
4,0.015702156882678196,2006,net_2
5,0.015515237039784774,2007,net_2
6,0.01595563579934884,2008,net_2
7,0.015840864233904045,2009,net_2
8,0.015984404539071635,2010,net_2
9,0.015680358402922583,2011,net_2
10,0.015235328993878097,2012,net_2
11,0.015526156702389299,2013,net_2
12,0.015633370747799427,2014,net_2
13,0.01539647216419239,2015,net_2
0,0.009723965415078806,2002,net_3
1,0.008814267477073812,2003,net_3
2,0.01255847769067997,2004,net_3
3,0.015532796228846402,2005,net_3
4,0.01076084074313921,2006,net_3
5,0.013212337916588157,2007,net_3
6,0.00910613300518387,2008,net_3
7,0.006932044757275546,2009,net_3
8,0.008198043395337529,2010,net_3
9,0.016114837909438684,2011,net_3
10,0.014331324904108433,2012,net_3
11,0.012526065987604362,2013,net_3
12,0.013576297294537243,2014,net_3
13,0.009418470847056215,2015,net_3
0,0.015232689972063354,2002,net_4
1,0.015358175776392285,2003,net_4
2,0.015346784858284307,2004,net_4
3,0.015253871103981104,2005,net_4
4,0.015343030792662637,2006,net_4
5,0.015328357024981393,2007,net_4
6,0.015391368994444252,2008,net_4
7,0.015260939025141959,2009,net_4
8,0.01534428355506759,2010,net_4
9,0.015315723216921553,2011,net_4
10,0.015248392984343509,2012,net_4
11,0.015318716283064499,2013,net_4
12,0.015333581564789867,2014,net_4
13,0.015180925433388254,2015,net_4
