,Arquitetura,FA,Alpha,TA,FV,MSE,MAE
1,"(6, 6)",logistic,0.0001,0.003,0.2,77908.21818,278.7692
2,"(3, 9)",logistic,0.01,0.003,0.2,78141.57292,279.29557
3,4,logistic,0.0001,0.001,0.1,78313.34947,279.19153
4,3,logistic,0.01,0.003,0.1,78352.55915,279.04175
5,"(4, 8)",logistic,0.01,0.003,0.2,78446.55277,279.76764
6,12,logistic,0.0001,0.001,0.1,78458.57787,279.32299
7,7,logistic,0.0001,0.001,0.1,78493.95921,279.32278
8,"(4, 8)",logistic,0.01,0.001,0.1,78518.95812,279.72683
9,7,logistic,0.0001,0.003,0.2,78588.11639,279.86765
10,"(4, 8)",logistic,0.0001,0.003,0.2,78614.56387,279.96163
11,"(4, 8)",logistic,0.0001,0.003,0.1,78634.91492,279.9522
12,9,logistic,0.0001,0.003,0.1,78700.95745,280.04421
13,"(7, 5)",logistic,0.01,0.001,0.1,78716.43872,279.99643
14,6,logistic,0.01,0.003,0.2,78718.31959,279.99964
15,5,logistic,0.01,0.003,0.1,78774.28579,279.81873
16,"(8, 4)",logistic,0.0001,0.001,0.1,78802.7626,280.26052
17,12,logistic,0.01,0.003,0.1,78845.49146,280.22337
18,11,logistic,0.0001,0.001,0.2,78897.04542,280.31528
19,"(7, 5)",logistic,0.0001,0.001,0.2,78993.03956,280.71545
20,"(6, 6)",logistic,0.01,0.003,0.2,78994.41605,280.69047
21,"(5, 7)",logistic,0.01,0.001,0.2,79026.85893,280.76276
22,11,logistic,0.01,0.003,0.2,79063.99353,280.54385
23,"(3, 9)",logistic,0.0001,0.001,0.2,79111.51767,280.95398
24,5,logistic,0.0001,0.003,0.1,79177.74218,280.46922
25,"(6, 6)",logistic,0.0001,0.001,0.1,79199.95934,280.89257
26,"(5, 7)",logistic,0.0001,0.001,0.2,79205.83447,281.00185
27,"(8, 4)",logistic,0.01,0.001,0.1,79248.79547,280.82541
28,"(3, 9)",logistic,0.01,0.003,0.1,79250.48695,281.10571
29,11,logistic,0.0001,0.001,0.1,79263.0562,280.68535
30,3,logistic,0.01,0.003,0.2,79275.9796,280.77305
31,6,logistic,0.01,0.001,0.1,79281.35878,280.77639
32,"(6, 6)",logistic,0.01,0.001,0.2,79282.18038,281.25752
33,"(7, 5)",tanh,0.0001,0.003,0.1,79309.79702,277.66083
34,"(3, 9)",logistic,0.01,0.001,0.2,79377.3617,281.4759
35,"(9, 3)",logistic,0.0001,0.003,0.1,79387.93908,281.18962
36,6,logistic,0.0001,0.001,0.1,79398.73601,281.07572
37,"(4, 8)",tanh,0.0001,0.001,0.1,79460.63063,279.17947
38,5,logistic,0.0001,0.001,0.1,79461.68995,280.84359
39,8,logistic,0.01,0.001,0.2,79493.78593,281.36943
40,12,logistic,0.0001,0.001,0.2,79514.76179,281.3692
41,"(4, 8)",logistic,0.0001,0.001,0.1,79517.02993,281.58736
42,8,logistic,0.0001,0.001,0.1,79555.04919,281.32557
43,"(5, 7)",logistic,0.01,0.003,0.1,79556.99242,281.58995
44,9,logistic,0.0001,0.003,0.2,79558.4581,281.41983
45,3,logistic,0.0001,0.001,0.1,79569.70598,281.20078
46,9,logistic,0.0001,0.001,0.2,79570.79737,281.5441
47,5,logistic,0.01,0.001,0.1,79634.3648,281.49817
48,7,logistic,0.01,0.001,0.2,79637.41863,281.73134
