,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,8,tanh,0.01,0.001,0.1,0.86667
2,"(7, 5)",tanh,0.01,0.003,0.2,0.8
3,"(3, 9)",tanh,0.01,0.003,0.2,0.8
4,5,tanh,0.01,0.003,0.1,0.8
5,5,tanh,0.01,0.001,0.2,0.8
6,5,logistic,0.01,0.003,0.1,0.8
7,8,tanh,0.0001,0.001,0.2,0.8
8,"(5, 7)",tanh,0.01,0.003,0.1,0.8
9,8,tanh,0.01,0.003,0.1,0.8
10,8,tanh,0.01,0.003,0.2,0.8
11,9,tanh,0.0001,0.003,0.2,0.8
12,9,tanh,0.0001,0.001,0.2,0.8
13,11,logistic,0.01,0.001,0.1,0.8
14,"(6, 6)",tanh,0.0001,0.001,0.2,0.8
15,"(8, 4)",tanh,0.0001,0.001,0.1,0.8
16,10,tanh,0.0001,0.003,0.2,0.8
17,12,tanh,0.0001,0.001,0.2,0.8
18,"(6, 6)",tanh,0.0001,0.003,0.1,0.8
19,"(8, 4)",tanh,0.01,0.001,0.1,0.8
20,11,tanh,0.0001,0.003,0.1,0.8
21,5,tanh,0.01,0.001,0.1,0.73333
22,5,tanh,0.0001,0.001,0.1,0.73333
23,5,logistic,0.0001,0.001,0.1,0.73333
24,4,tanh,0.01,0.003,0.2,0.73333
25,4,tanh,0.0001,0.003,0.1,0.73333
26,"(9, 3)",tanh,0.0001,0.001,0.2,0.73333
27,"(9, 3)",tanh,0.01,0.001,0.2,0.73333
28,"(8, 4)",tanh,0.0001,0.001,0.2,0.73333
29,3,tanh,0.01,0.003,0.2,0.73333
30,3,tanh,0.0001,0.003,0.2,0.73333
31,3,tanh,0.0001,0.003,0.1,0.73333
32,6,logistic,0.01,0.003,0.1,0.73333
33,3,tanh,0.0001,0.001,0.1,0.73333
34,"(9, 3)",tanh,0.0001,0.001,0.1,0.73333
35,3,logistic,0.01,0.001,0.1,0.73333
36,5,tanh,0.01,0.003,0.2,0.73333
37,4,tanh,0.0001,0.001,0.1,0.73333
38,6,tanh,0.0001,0.003,0.1,0.73333
39,6,tanh,0.0001,0.003,0.2,0.73333
40,12,tanh,0.01,0.001,0.2,0.73333
41,12,logistic,0.0001,0.001,0.1,0.73333
42,11,tanh,0.0001,0.001,0.1,0.73333
43,11,logistic,0.0001,0.001,0.1,0.73333
44,10,tanh,0.01,0.003,0.2,0.73333
45,10,tanh,0.01,0.001,0.2,0.73333
46,10,tanh,0.0001,0.001,0.1,0.73333
47,9,tanh,0.01,0.003,0.1,0.73333
48,9,tanh,0.01,0.001,0.2,0.73333
49,9,tanh,0.0001,0.003,0.1,0.73333
50,9,tanh,0.0001,0.001,0.1,0.73333
51,9,logistic,0.01,0.003,0.2,0.73333
52,9,logistic,0.0001,0.003,0.1,0.73333
53,8,tanh,0.0001,0.003,0.2,0.73333
54,8,tanh,0.0001,0.001,0.1,0.73333
55,7,tanh,0.01,0.003,0.2,0.73333
56,7,tanh,0.0001,0.003,0.2,0.73333
57,"(7, 5)",tanh,0.0001,0.003,0.2,0.73333
58,7,logistic,0.0001,0.003,0.2,0.73333
59,6,tanh,0.01,0.003,0.2,0.73333
60,6,tanh,0.01,0.001,0.1,0.73333
61,7,tanh,0.0001,0.003,0.1,0.73333
62,12,tanh,0.01,0.003,0.2,0.73333
63,"(5, 7)",tanh,0.0001,0.001,0.2,0.73333
64,"(5, 7)",tanh,0.01,0.001,0.2,0.73333
65,"(3, 9)",tanh,0.01,0.001,0.1,0.73333
66,"(6, 6)",tanh,0.0001,0.001,0.1,0.73333
67,"(3, 9)",logistic,0.01,0.003,0.2,0.73333
68,"(5, 7)",tanh,0.0001,0.001,0.1,0.73333
69,"(5, 7)",tanh,0.0001,0.003,0.1,0.73333
70,"(6, 6)",tanh,0.01,0.001,0.2,0.73333
71,"(4, 8)",tanh,0.01,0.001,0.2,0.66667
72,7,tanh,0.0001,0.001,0.1,0.66667
73,7,tanh,0.0001,0.001,0.2,0.66667
74,"(4, 8)",tanh,0.01,0.003,0.1,0.66667
75,"(6, 6)",tanh,0.01,0.003,0.1,0.66667
76,7,logistic,0.01,0.001,0.1,0.66667
77,7,tanh,0.01,0.001,0.1,0.66667
78,7,tanh,0.01,0.003,0.1,0.66667
79,8,logistic,0.0001,0.001,0.2,0.66667
80,8,logistic,0.0001,0.003,0.1,0.66667
81,8,logistic,0.01,0.001,0.1,0.66667
82,"(4, 8)",tanh,0.0001,0.003,0.2,0.66667
83,8,tanh,0.0001,0.003,0.1,0.66667
84,7,logistic,0.01,0.003,0.1,0.66667
85,6,tanh,0.0001,0.001,0.1,0.66667
86,"(4, 8)",tanh,0.01,0.003,0.2,0.66667
87,6,tanh,0.01,0.003,0.1,0.66667
88,6,tanh,0.0001,0.001,0.2,0.66667
89,9,logistic,0.0001,0.001,0.2,0.66667
90,6,logistic,0.0001,0.003,0.1,0.66667
91,6,logistic,0.0001,0.001,0.2,0.66667
92,5,tanh,0.0001,0.003,0.1,0.66667
93,5,tanh,0.0001,0.001,0.2,0.66667
94,5,logistic,0.01,0.001,0.2,0.66667
95,5,logistic,0.01,0.001,0.1,0.66667
