,Volume,Year,from
<<<<<<< HEAD
1,348.4,2001.0,y
2,380.8,2002.0,y
3,105.8,2003.0,y
4,179.6,2004.0,y
5,165.7,2005.0,y
6,173.3,2006.0,y
7,414.4,2007.0,y
8,397.4,2008.0,y
9,310.8,2009.0,y
10,295.8,2010.0,y
11,226.8,2011.0,y
12,365.2,2012.0,y
13,314.6,2013.0,y
14,253.3,2014.0,y
15,303.7,2015.0,y
16,279.3100455895985,,net_0
17,277.6925618119349,,net_0
18,278.0756885539432,,net_0
19,278.3871588585765,,net_0
20,280.100613537837,,net_0
21,278.4975358756213,,net_0
22,281.3651968909813,,net_0
23,280.6541126609962,,net_0
24,277.4750700329008,,net_0
25,280.92799859577815,,net_0
26,279.62476763514536,,net_0
27,279.66125773481485,,net_0
28,280.38071739413505,,net_0
29,277.90534055015996,,net_0
30,277.0728834767684,,net_0
31,260.10451487800407,,net_1
32,257.4095701561938,,net_1
33,259.5311175967401,,net_1
34,258.56665114741867,,net_1
35,259.1370013826442,,net_1
36,257.5197267641063,,net_1
37,260.591366979483,,net_1
38,259.29062820558465,,net_1
39,257.77465366809116,,net_1
40,261.24932131993984,,net_1
41,260.7489841778622,,net_1
42,258.2951027574038,,net_1
43,259.2429684984661,,net_1
44,257.4868544280672,,net_1
45,256.1163381477843,,net_1
46,286.37063684737916,,net_2
47,286.99982629454774,,net_2
48,284.74304167246027,,net_2
49,286.5946959554463,,net_2
50,285.19314307196925,,net_2
51,284.51376738588993,,net_2
52,284.31635642073576,,net_2
53,283.18617561997314,,net_2
54,285.15177043165204,,net_2
55,284.1418398054389,,net_2
56,283.9206188516688,,net_2
57,284.5931366576603,,net_2
58,285.081781812766,,net_2
59,284.10895147725694,,net_2
60,284.9437363314013,,net_2
61,266.6535246245162,,net_3
62,266.83298467200996,,net_3
63,266.8853787486767,,net_3
64,266.7235043351627,,net_3
65,266.77439429817974,,net_3
66,267.1376643592211,,net_3
67,267.2104740892416,,net_3
68,266.96175438876384,,net_3
69,266.98367516076576,,net_3
70,266.6746640316183,,net_3
71,266.96609219145364,,net_3
72,266.97583537678787,,net_3
73,267.0107377035858,,net_3
74,267.09492702801595,,net_3
75,266.6057427396857,,net_3
76,289.1043050554843,,net_4
77,288.87261605599014,,net_4
78,289.1273101469072,,net_4
79,289.08939133189455,,net_4
80,289.0492310269677,,net_4
81,289.10271806972037,,net_4
82,289.1334546371759,,net_4
83,289.2373149899877,,net_4
84,288.9726037449518,,net_4
85,289.086020788334,,net_4
86,289.01012905572384,,net_4
87,289.05286703099847,,net_4
88,289.2237830404602,,net_4
89,288.9666977040215,,net_4
90,288.8333638347091,,net_4
=======
1,348.4,2001,y
2,380.8,2002,y
3,105.8,2003,y
4,179.6,2004,y
5,165.7,2005,y
6,173.3,2006,y
7,414.4,2007,y
8,397.4,2008,y
9,310.8,2009,y
10,295.8,2010,y
11,226.8,2011,y
12,365.2,2012,y
13,314.6,2013,y
14,253.3,2014,y
15,303.7,2015,y
16,276.87059720045426,2001,net_0
17,276.5874247584088,2002,net_0
18,276.80065054675805,2003,net_0
19,277.1777959589962,2004,net_0
20,276.912959128589,2005,net_0
21,277.12459224219066,2006,net_0
22,276.9430707546009,2007,net_0
23,277.01413310569603,2008,net_0
24,276.77342103749305,2009,net_0
25,276.3643604383779,2010,net_0
26,276.4759517901736,2011,net_0
27,276.9111554498138,2012,net_0
28,276.5837610189153,2013,net_0
29,276.78164148879205,2014,net_0
30,276.68800848090416,2015,net_0
31,278.1637659870354,2001,net_1
32,277.83269960603127,2002,net_1
33,278.3161242294401,2003,net_1
34,278.09719386445846,2004,net_1
35,278.1632183168819,2005,net_1
36,278.28271019752594,2006,net_1
37,278.57695788792626,2007,net_1
38,278.46488774182643,2008,net_1
39,277.95910066701805,2009,net_1
40,278.6677893370856,2010,net_1
41,278.64724919123466,2011,net_1
42,278.10284430272924,2012,net_1
43,278.6082491052781,2013,net_1
44,278.57905971910145,2014,net_1
45,277.97475592845115,2015,net_1
46,276.7116023819125,2001,net_2
47,276.96875385917997,2002,net_2
48,277.003924390253,2003,net_2
49,277.004970786076,2004,net_2
50,276.5989107698832,2005,net_2
51,277.1141709623327,2006,net_2
52,276.3394617388818,2007,net_2
53,276.8724657697872,2008,net_2
54,276.91908888013165,2009,net_2
55,276.51532812332925,2010,net_2
56,276.7937779026491,2011,net_2
57,276.7617778264068,2012,net_2
58,276.7664026903614,2013,net_2
59,276.89002337625595,2014,net_2
60,277.40402739106844,2015,net_2
61,284.02950566344236,2001,net_3
62,284.1604359278517,2002,net_3
63,284.1973313505015,2003,net_3
64,284.132947593753,2004,net_3
65,284.3153984615058,2005,net_3
66,284.52283754153507,2006,net_3
67,284.15209538564534,2007,net_3
68,284.80678905124006,2008,net_3
69,284.1738962652833,2009,net_3
70,284.3773361696684,2010,net_3
71,284.6993529964239,2011,net_3
72,284.7582724927695,2012,net_3
73,284.68549604479585,2013,net_3
74,284.67909064840626,2014,net_3
75,284.5922580016007,2015,net_3
76,286.67721856372856,2001,net_4
77,286.8292944654421,2002,net_4
78,286.4965988405053,2003,net_4
79,286.6763752899528,2004,net_4
80,286.34561276480804,2005,net_4
81,286.7211272828905,2006,net_4
82,286.2706086961197,2007,net_4
83,286.6081620878355,2008,net_4
84,286.67688661996704,2009,net_4
85,286.3639759673826,2010,net_4
86,286.82874665215184,2011,net_4
87,286.7179155337816,2012,net_4
88,286.5305147775177,2013,net_4
89,287.01843404426785,2014,net_4
90,287.0078186773994,2015,net_4
>>>>>>> master
