Year,y,net_0,net_1,net_2,net_3,net_4
2001,66.02666666666664,-5.502736132879079,-4.209567346297945,-5.66173095142085,1.6561723301090296,4.303885230395224
2002,98.42666666666668,-5.78590857492452,-4.540633727302065,-5.4045794741533655,1.7871025945183874,4.455961132108769
2003,-176.57333333333332,-5.572682786575285,-4.0572091038932285,-5.369408943080316,1.823998017168151,4.123265507171993
2004,-102.77333333333334,-5.195537374337107,-4.276139468874874,-5.368362547257334,1.759614260419653,4.303041956619438
2005,-116.67333333333335,-5.460374204744312,-4.210115016451425,-5.774422563450116,1.9420651281724872,3.9722794314747034
2006,-109.07333333333332,-5.248741091142676,-4.090623135807391,-5.2591623710006274,2.1495042082017335,4.347793949557172
2007,132.02666666666664,-5.430262578732425,-3.7963754454070795,-6.0338715944515116,1.778762052312004,3.897275362786388
2008,115.02666666666664,-5.359200227637302,-3.9084455915069043,-5.500867563546137,2.4334557179067247,4.234828754502189
2009,28.426666666666677,-5.599912295840284,-4.414232666315286,-5.454244453201682,1.800562931949969,4.303553286633701
2010,13.426666666666677,-6.008972894955434,-3.705543996247741,-5.85800521000408,2.0040028363350757,3.990642634049266
2011,-55.57333333333332,-5.8973815431597245,-3.726084142098671,-5.579555430684252,2.3260196630905625,4.455413318818501
2012,82.82666666666665,-5.46217788351953,-4.270489030604097,-5.61155550692655,2.3849391594361578,4.344582200448258
2013,32.22666666666669,-5.789572314418024,-3.7650842280552297,-5.606930642971918,2.31216271146252,4.157181444184346
2014,-29.073333333333323,-5.5916918445412875,-3.7942736142318836,-5.483309957077381,2.305757315072924,4.645100710934514
2015,21.326666666666654,-5.685324852429176,-4.3985774048821895,-4.969305942264896,2.218924668267391,4.634485344066093
