Year,y,net_0,net_1,net_2,net_3,net_4
2001,28.1,120.68919273030694,118.39607389193516,119.2352410093417,110.01829396504844,120.59073314924792
2002,216.1,121.92205543955474,120.31662613375973,119.46592804346587,110.34394011436984,120.11317038257936
2003,96.9,120.67443246951485,118.79611607296908,116.97161946300771,110.12051306778123,120.22961945232329
2004,66.0,120.78682864114495,117.45681492030639,118.63467615121422,110.2921961640026,119.70608463064269
2005,75.2,121.63480811950714,119.75601237168549,119.9253943702379,111.18761787410587,120.21261538880206
2006,66.0,120.98073243008437,118.01886241387287,117.46305706115253,109.71845274783144,119.32492850373846
2007,28.5,120.42445679033365,118.96281778846331,117.089666162048,110.8852282474962,119.87453057435323
2008,162.2,120.62727571319176,118.1066111669077,120.64539248505791,109.98382879903906,121.32233754473704
2009,26.0,121.56421941720204,119.83787863954169,119.19668561060932,109.5776701508181,121.60817630630787
2010,116.9,121.4780497827357,119.73597521685734,117.27427635187834,110.63112332560225,122.44769143438413
2011,283.7,120.88033813153709,120.40339664679523,120.4352287570351,111.25141522444721,122.0128223333074
2012,181.3,120.47715322249385,117.41793563876409,121.8234527733521,110.8749845074783,121.17388959734843
2013,193.0,120.31171124372489,118.2891470541469,118.59192828124193,110.36759057917706,118.143431326676
2014,190.9,121.7060500535028,118.46770402026233,118.50468055705664,110.46607823313636,120.00913203710523
2015,31.3,121.91190691640412,119.59807911154876,119.1312853198551,110.85807634222512,120.35634602768633
