,Norm,Year,from
0,0.020278617986622928,2002,y
1,0.00563413283346824,2003,y
2,0.009564180121842115,2004,y
3,0.00882396796319175,2005,y
4,0.009228688280151665,2006,y
5,0.02206790780897201,2007,y
6,0.021162612363140626,2008,y
7,0.016550930856729006,2009,y
8,0.015752140757466025,2010,y
9,0.012077706300856302,2011,y
10,0.019447876283389426,2012,y
11,0.016753291015208963,2013,y
12,0.013488902142887572,2014,y
13,0.01617283687641119,2015,y
0,0.015253485328489741,2002,net_0
1,0.01524355667503053,2003,net_0
2,0.015244675899999501,2004,net_0
3,0.015248611967044298,2005,net_0
4,0.015248524318022729,2006,net_0
5,0.015248150254971664,2007,net_0
6,0.01524896173212751,2008,net_0
7,0.015247297266336156,2009,net_0
8,0.015248459462142434,2010,net_0
9,0.015252196014346702,2011,net_0
10,0.015248818278520081,2012,net_0
11,0.015251418267976878,2013,net_0
12,0.01525191280653878,2014,net_0
13,0.015246228934527557,2015,net_0
0,0.015961338664819427,2002,net_1
1,0.015072541002042555,2003,net_1
2,0.015189254854656387,2004,net_1
3,0.014678805734436362,2005,net_1
4,0.014988436711008662,2006,net_1
5,0.01527097111361167,2007,net_1
6,0.01554425277856536,2008,net_1
7,0.015546417874637869,2009,net_1
8,0.01541314193017529,2010,net_1
9,0.01440414422765493,2011,net_1
10,0.015511741628532194,2012,net_1
11,0.015101703727173801,2013,net_1
12,0.014263462679319633,2014,net_1
13,0.016150916668090973,2015,net_1
0,0.015296703540061449,2002,net_2
1,0.015010583466541352,2003,net_2
2,0.01519158475034463,2004,net_2
3,0.015243601398987679,2005,net_2
4,0.015166720963606889,2006,net_2
5,0.015215269378388784,2007,net_2
6,0.015116679711404603,2008,net_2
7,0.01514157344144555,2009,net_2
8,0.01506060434457874,2010,net_2
9,0.015074109415655375,2011,net_2
10,0.015272256559067943,2012,net_2
11,0.01524596240280808,2013,net_2
12,0.015200203576176546,2014,net_2
13,0.015225607670700598,2015,net_2
0,0.01592910149166865,2002,net_3
1,0.016062049472673867,2003,net_3
2,0.01477562265009863,2004,net_3
3,0.014070528030873719,2005,net_3
4,0.01573938245870965,2006,net_3
5,0.015546845306111723,2007,net_3
6,0.01803406642744404,2008,net_3
7,0.015083090132545218,2009,net_3
8,0.017623584366880995,2010,net_3
9,0.016659735928801822,2011,net_3
10,0.014352892921348115,2012,net_3
11,0.01628629382078106,2013,net_3
12,0.015178600874002857,2014,net_3
13,0.013776104794987865,2015,net_3
0,0.015340363025817098,2002,net_4
1,0.015341443069555847,2003,net_4
2,0.015341411403753901,2004,net_4
3,0.01534138194777964,2005,net_4
4,0.015341112603425137,2006,net_4
5,0.01534117258478606,2007,net_4
6,0.015340899062722006,2008,net_4
7,0.015340881415395101,2009,net_4
8,0.015340948650097611,2010,net_4
9,0.015341263959483153,2011,net_4
10,0.015341123705133863,2012,net_4
11,0.015340936489150511,2013,net_4
12,0.015341120936495919,2014,net_4
13,0.01534095427131716,2015,net_4
