Year,y,net_0,net_1,net_2,net_3,net_4
2002,380.79999999999995,286.43604889251174,299.7284019834451,287.24761775668986,299.1230394511506,288.06747304400375
2003,105.79999999999998,286.2496046663933,283.0382039527559,281.8747405681001,301.6195898176589,288.0877545373475
2004,179.59999999999994,286.2706219205506,285.22990336267947,285.27365507587155,277.4625523726121,288.08715990425225
2005,165.69999999999996,286.3445349619446,275.64448560353975,286.2504445107502,264.222003574959,288.08660676818516
2006,173.3,286.342889053558,281.45885993400503,284.80675294299556,295.56041956263323,288.08154891215855
2007,414.3999999999999,286.3358647479599,286.76440395984537,285.7184144951359,291.94487989628834,288.0826752661465
2008,397.39999999999986,286.3511029905832,291.89619637701173,283.86705829264014,338.6509130011151,288.0775389594189
2009,310.7999999999999,286.31984698616685,291.9368534170997,284.3345227128411,283.2362997449871,288.0772075708553
2010,295.79999999999995,286.34167116389546,289.4341444216036,282.8140526242374,330.94271667503807,288.07847013099297
2011,226.79999999999995,286.41183763580807,270.4867819645953,283.0676562509429,312.8431851654121,288.0843911367584
2012,365.19999999999993,286.3484091613615,291.28568899722893,286.7885425688014,269.5243644342434,288.0817573844857
2013,314.59999999999997,286.397232803377,283.58583327036047,286.2947803848912,305.83053988415503,288.0782417678639
2014,253.29999999999995,286.4065194463078,267.84500757733576,285.4355028348736,285.0298386523752,288.08170539389494
2015,303.6999999999999,286.2997854241322,303.2883735600795,285.91255108348406,258.6932062822001,288.0785756885021
