,Norm,Year,from
0,380.79999999999995,2002,y
1,105.79999999999998,2003,y
2,179.59999999999994,2004,y
3,165.69999999999996,2005,y
4,173.3,2006,y
5,414.3999999999999,2007,y
6,397.39999999999986,2008,y
7,310.7999999999999,2009,y
8,295.79999999999995,2010,y
9,226.79999999999995,2011,y
10,365.19999999999993,2012,y
11,314.59999999999997,2013,y
12,253.29999999999995,2014,y
13,303.6999999999999,2015,y
0,288.30066041079004,2002,net_0
1,276.0722030921428,2003,net_0
2,278.7835247102236,2004,net_0
3,285.82555220514945,2005,net_0
4,282.3855651432867,2006,net_0
5,283.99153406202765,2007,net_0
6,278.8212763571225,2008,net_0
7,280.2055857730713,2009,net_0
8,279.403740943426,2010,net_0
9,292.5495572759003,2011,net_0
10,285.8707651916964,2012,net_0
11,285.6681034785899,2013,net_0
12,290.9538903377314,2014,net_0
13,280.3479669182069,2015,net_0
0,284.6312510211662,2002,net_1
1,273.31005963297724,2003,net_1
2,279.67582236703396,2004,net_1
3,287.5364900313893,2005,net_1
4,275.52039662123315,2006,net_1
5,279.4565738146279,2007,net_1
6,275.0418808603552,2008,net_1
7,279.9799460567939,2009,net_1
8,276.79074688549554,2010,net_1
9,273.48385779083804,2011,net_1
10,286.93338650415075,2012,net_1
11,280.5791788695087,2013,net_1
12,271.11608347738854,2014,net_1
13,292.35578311250396,2015,net_1
0,264.81325221205043,2002,net_2
1,311.5100152928452,2003,net_2
2,305.90349542843956,2004,net_2
3,301.76292606039783,2005,net_2
4,291.74574774298003,2006,net_2
5,282.2165758250454,2007,net_2
6,297.57331751059235,2008,net_2
7,298.7204685270768,2009,net_2
8,300.1933049837691,2010,net_2
9,251.54568080811123,2011,net_2
10,286.44685902293173,2012,net_2
11,288.5890657702743,2013,net_2
12,259.1795413645434,2014,net_2
13,307.4160330808649,2015,net_2
0,340.7963396663012,2002,net_3
1,287.0436983097651,2003,net_3
2,254.45535165884726,2004,net_3
3,218.90842402729604,2005,net_3
4,313.76718229533276,2006,net_3
5,325.7575786431945,2007,net_3
6,316.28350591870526,2008,net_3
7,280.9633282760981,2009,net_3
8,305.8433226027433,2010,net_3
9,443.8411429519818,2011,net_3
10,274.52510872556235,2012,net_3
11,292.09559718066293,2013,net_3
12,396.7856997100277,2014,net_3
13,207.5568248646133,2015,net_3
0,285.522728794132,2002,net_4
1,286.1912681442641,2003,net_4
2,286.1042467806338,2004,net_4
3,286.81483362482504,2005,net_4
4,285.85824226748974,2006,net_4
5,285.9942968693175,2007,net_4
6,285.82024170671764,2008,net_4
7,285.68524530120527,2009,net_4
8,286.10930272262794,2010,net_4
9,286.79233741096596,2011,net_4
10,286.24675383537243,2012,net_4
11,286.09228404592557,2013,net_4
12,285.93439194329767,2014,net_4
13,286.06330358010956,2015,net_4
