,Anomaly,Year,from
0,0.020278617986622928,2002,y
1,0.00563413283346824,2003,y
2,0.009564180121842115,2004,y
3,0.00882396796319175,2005,y
4,0.009228688280151665,2006,y
5,0.02206790780897201,2007,y
6,0.021162612363140626,2008,y
7,0.016550930856729006,2009,y
8,0.015752140757466025,2010,y
9,0.012077706300856302,2011,y
10,0.019447876283389426,2012,y
11,0.016753291015208963,2013,y
12,0.013488902142887572,2014,y
13,0.01617283687641119,2015,y
0,0.01571568919513075,2002,net_0
1,0.015282251737812613,2003,net_0
2,0.014915433758221852,2004,net_0
3,0.015070056573710508,2005,net_0
4,0.015540557290439821,2006,net_0
5,0.015210421548429956,2007,net_0
6,0.01608408137070165,2008,net_0
7,0.015289248041682635,2009,net_0
8,0.01598986525824664,2010,net_0
9,0.015874536529085756,2011,net_0
10,0.014914422455805557,2012,net_0
11,0.015789981727732286,2013,net_0
12,0.015679601662855924,2014,net_0
13,0.01457895385931779,2015,net_0
0,0.018069681630886403,2002,net_1
1,0.012556814315438036,2003,net_1
2,0.012653114322465298,2004,net_1
3,0.01330396413880186,2005,net_1
4,0.01423911270011946,2006,net_1
5,0.01493713411395542,2007,net_1
6,0.015190211182093738,2008,net_1
7,0.014357720437125132,2009,net_1
8,0.015009856078171513,2010,net_1
9,0.017044823951917865,2011,net_1
10,0.014947251326340838,2012,net_1
11,0.01549890827068201,2013,net_1
12,0.01574189357979966,2014,net_1
13,0.014114389980257713,2015,net_1
0,0.01189348659292172,2002,net_2
1,0.009426546705833538,2003,net_2
2,0.011870173765894054,2004,net_2
3,0.016356987438159942,2005,net_2
4,0.011445415899750455,2006,net_2
5,0.012358381251180772,2007,net_2
6,0.01075007800333927,2008,net_2
7,0.009551200881095179,2009,net_2
8,0.010695667389075347,2010,net_2
9,0.014180124813278738,2011,net_2
10,0.014183025174510033,2012,net_2
11,0.013948964081821669,2013,net_2
12,0.012700190761469554,2014,net_2
13,0.011792409274653248,2015,net_2
0,0.01530166099670191,2002,net_3
1,0.014449185156702765,2003,net_3
2,0.014992512236472105,2004,net_3
3,0.015535762152978194,2005,net_3
4,0.014770172649961194,2006,net_3
5,0.014866502883188804,2007,net_3
6,0.014427456213955081,2008,net_3
7,0.015060365533622111,2009,net_3
8,0.014489834974950738,2010,net_3
9,0.014370780959935964,2011,net_3
10,0.015445753956988856,2012,net_3
11,0.015015654886795016,2013,net_3
12,0.01471612377603776,2014,net_3
13,0.015721184787402226,2015,net_3
0,0.01519298158547934,2002,net_4
1,0.01520342030773511,2003,net_4
2,0.015198249077036846,2004,net_4
3,0.01519140736160901,2005,net_4
4,0.015198223439781527,2006,net_4
5,0.015195353211284332,2007,net_4
6,0.015200249568072366,2008,net_4
7,0.01520035060003505,2009,net_4
8,0.01520038600224674,2010,net_4
9,0.015191102261422604,2011,net_4
10,0.015192058512026707,2012,net_4
11,0.015194329040031401,2013,net_4
12,0.01519383675113363,2014,net_4
13,0.015196049281591115,2015,net_4
