Year,rainfall_07,nino12_01,nino12_02,nino12_03,nino12_04,nino12_05,nino12_06,nino3_01,nino3_02,nino3_03,nino3_04,nino3_05,nino3_06,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_05,rainfall_06,nino4_01,nino4_02,nino4_03,nino4_04,nino4_05,nino4_06,nino34_01,nino34_02,nino34_03,nino34_04,nino34_05,nino34_06,tsa_01,tsa_02,tsa_03,tsa_04,tsa_05,tsa_06
1950,-23.74,-1.11,-1.55,-1.01,-1.54,-1.35,-1.36,-1.73,-1.26,-0.56,-0.76,-1.19,-0.82,44.23,-39.58,123.84,-25.13,-4.35,54.34,-0.99,-1.24,-1.27,-1.04,-0.8,-0.49,-1.61,-1.44,-1.11,-1.27,-1.54,-1.0,0.02,0.09,0.04,-0.24,-0.41,-0.29
1951,-5.94,-0.22,-0.84,-0.74,-0.23,0.29,1.61,-0.61,-0.51,-0.05,0.03,0.09,0.17,-4.67,-118.98,-0.26,104.87,74.05,142.94,-0.78,-0.9,-0.33,-0.03,0.34,0.28,-1.12,-0.92,-0.17,-0.02,0.2,-0.08,-1.04,-0.76,-0.95,-0.58,-0.44,-0.32
1952,-18.54,-0.01,0.07,0.01,-0.51,-0.27,-0.41,0.39,0.17,0.2,0.19,0.09,-0.34,63.83,143.42,18.14,140.87,54.55,-12.66,0.2,0.05,-0.03,0.12,0.01,-0.21,0.24,0.16,0.17,0.37,0.37,-0.11,-0.0,-0.07,-0.16,-0.15,-0.26,0.01
1953,87.16,-0.12,0.36,0.87,1.54,1.11,0.54,0.22,0.45,0.43,0.43,0.4,0.45,-60.17,144.92,-33.06,-108.53,-62.25,-84.46,0.05,-0.05,-0.08,0.05,0.16,0.37,0.43,0.55,0.45,0.57,0.55,0.59,-0.21,-0.31,-0.07,-0.36,-0.21,-0.16
1954,-28.54,-1.69,-0.8,-1.07,-2.5,-2.28,-1.91,0.06,0.03,-0.27,-1.32,-1.2,-1.1,32.23,-6.18,3.24,-74.23,-167.75,-6.76,0.32,0.23,-0.14,-0.27,-0.32,-0.39,0.47,0.41,-0.15,-0.76,-0.67,-0.55,-0.49,-0.56,-0.6,-0.47,-0.68,-0.63
1955,2.16,-0.62,-1.01,-1.14,-1.11,-1.78,-1.66,-0.61,-0.54,-0.7,-0.95,-1.32,-1.13,-6.67,84.02,10.54,-42.43,42.95,-36.56,-0.49,-0.65,-0.57,-0.67,-0.53,-0.47,-0.64,-0.78,-0.79,-0.95,-0.82,-0.77,-0.48,-0.66,-0.53,-0.59,-0.41,-0.5
1956,-7.84,-0.87,-0.68,-0.34,-0.94,-1.02,-0.85,-0.75,-0.39,-0.29,-0.52,-0.27,-0.35,-30.87,-58.48,-61.96,-36.03,-78.05,13.14,-1.13,-1.01,-0.81,-0.73,-0.74,-0.62,-0.83,-0.58,-0.57,-0.83,-0.44,-0.51,-0.56,-0.75,-0.65,-0.8,-0.52,-0.49
1957,-62.24,-1.62,0.02,0.93,1.2,2.1,1.83,-0.64,-0.21,0.3,0.44,0.72,0.89,130.43,-79.28,-44.46,14.17,-156.15,-23.96,-0.16,-0.08,-0.06,0.19,0.3,-0.06,-0.43,-0.17,0.24,0.49,0.63,0.69,-0.43,-0.17,-0.15,-0.1,-0.33,-0.17
1958,-26.24,0.21,0.59,0.78,0.99,0.59,0.58,1.34,1.04,0.59,0.38,0.29,0.26,88.43,-95.08,-76.36,36.67,-147.95,-35.76,0.96,1.12,0.92,0.58,0.41,0.36,1.71,1.55,1.02,0.62,0.54,0.57,-0.32,-0.32,-0.65,-0.7,-1.14,-1.12
1959,-35.94,-0.58,-0.12,0.5,0.23,-0.05,-0.34,0.02,0.02,-0.14,0.06,-0.2,-0.33,-65.37,-51.78,-53.36,-122.53,-110.65,2.44,0.45,0.33,0.17,0.26,0.04,-0.29,0.53,0.52,0.24,0.2,-0.05,-0.24,-0.02,-0.01,0.2,0.13,-0.24,-0.2
