Year,rainfall_05,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_06,rainfall_07,rainfall_08,rainfall_09,rainfall_10,rainfall_11,rainfall_12,nino12_01,nino12_02,nino12_03,nino12_04,nino12_05,nino12_06,nino12_07,nino12_08,nino12_09,nino12_10,nino12_11,nino12_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_05,nino3_06,nino3_07,nino3_08,nino3_09,nino3_10,nino3_11,nino3_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_05,nino34_06,nino34_07,nino34_08,nino34_09,nino34_10,nino34_11,nino34_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_05,nino4_06,nino4_07,nino4_08,nino4_09,nino4_10,nino4_11,nino4_12,tsa_01,tsa_02,tsa_03,tsa_04,tsa_05,tsa_06,tsa_07,tsa_08,tsa_09,tsa_10,tsa_11,tsa_12
1950,227.3,323.9,236.1,435.1,285.1,160.5,44.9,8.8,18.3,135.4,122.8,339.9,23.3,24.33,25.24,23.88,22.91,21.6,20.58,20.29,19.67,20.14,20.19,21.82,23.84,25.06,26.53,26.64,25.87,25.63,25.01,24.52,24.17,24.41,24.21,24.36,24.91,25.26,26.08,26.38,26.25,26.59,26.4,25.9,25.73,25.86,25.71,25.43,27.18,26.83,26.91,27.42,27.95,28.27,27.84,27.54,27.44,27.43,27.42,27.35,0.08,0.15,0.12,-0.17,-0.34,-0.23,-0.16,-0.34,-0.51,-0.54,-0.46,-0.92
1951,305.7,275.0,156.7,311.0,415.1,249.1,62.7,24.4,142.2,125.3,138.0,206.3,24.19,25.04,25.51,25.19,24.55,24.57,23.79,22.25,21.45,21.77,22.31,22.91,24.96,25.81,27.04,27.43,27.15,26.62,26.56,25.86,25.73,25.73,25.99,25.84,25.4,25.78,27.02,27.63,27.99,27.51,27.58,27.07,27.28,27.12,27.13,26.9,27.39,27.17,27.85,28.43,29.09,29.04,28.76,28.24,28.44,28.5,28.68,28.52,-0.98,-0.7,-0.87,-0.51,-0.37,-0.26,-0.11,0.05,0.05,0.03,-0.08,0.0
1952,286.2,343.5,419.1,329.4,451.1,93.5,50.1,86.2,28.1,74.5,173.7,376.3,24.4,25.95,26.26,24.91,23.99,22.55,21.36,20.3,19.75,20.7,21.09,22.7,25.96,26.49,27.29,27.59,27.15,26.11,25.23,24.63,24.46,24.58,24.35,24.82,26.76,26.86,27.36,28.02,28.16,27.48,26.93,26.48,26.53,26.56,26.4,26.57,28.37,28.12,28.15,28.58,28.76,28.55,28.25,27.97,28.33,28.17,28.39,28.34,0.06,-0.01,-0.08,-0.08,-0.19,0.07,-0.07,-0.01,-0.04,-0.08,0.0,-0.14
1953,169.4,219.5,420.6,278.2,201.7,21.7,155.8,2.9,27.9,132.3,171.1,175.8,24.29,26.24,27.12,26.96,25.37,23.5,22.1,21.39,21.05,21.04,21.68,22.42,25.79,26.77,27.52,27.83,27.46,26.9,25.96,25.26,25.37,25.24,25.2,25.45,26.95,27.25,27.64,28.22,28.34,28.18,27.61,27.13,27.12,27.15,27.0,27.08,28.22,28.02,28.1,28.51,28.91,29.13,28.97,28.89,28.64,28.72,28.73,28.8,-0.15,-0.25,0.01,-0.29,-0.14,-0.1,-0.07,-0.06,0.04,0.03,-0.18,-0.41
1954,63.9,311.9,269.5,314.5,236.0,99.4,40.1,29.4,57.7,94.8,250.4,181.3,22.72,25.08,25.18,22.92,21.98,21.05,19.61,19.37,19.19,19.34,20.36,21.41,25.63,26.35,26.82,26.08,25.86,25.35,24.66,23.86,23.56,23.73,24.04,24.0,26.99,27.11,27.04,26.89,27.12,27.04,26.44,25.74,25.52,25.69,25.94,25.7,28.49,28.3,28.04,28.19,28.43,28.37,28.02,27.7,27.58,27.48,27.84,27.71,-0.43,-0.5,-0.52,-0.4,-0.61,-0.57,-0.66,-0.39,-0.25,-0.14,-0.12,-0.23
1955,274.6,273.0,359.7,321.8,267.8,69.6,70.8,2.1,76.6,117.6,187.9,284.3,23.79,24.87,25.11,24.31,22.48,21.3,20.77,19.81,19.6,19.47,20.05,21.41,24.96,25.78,26.39,26.45,25.74,25.32,24.76,23.99,23.55,22.83,22.98,23.33,25.88,25.92,26.4,26.7,26.97,26.82,26.44,25.88,25.64,24.69,24.52,24.81,27.68,27.42,27.61,27.79,28.22,28.29,28.15,27.74,27.89,27.33,26.93,27.23,-0.42,-0.6,-0.45,-0.52,-0.34,-0.44,-0.27,-0.46,-0.41,-0.28,-0.2,-0.57
1956,153.6,248.8,217.2,249.3,274.2,119.3,60.8,51.0,108.9,166.8,188.9,208.6,23.54,25.2,25.91,24.48,23.24,22.11,21.59,20.78,19.99,19.79,20.69,21.47,24.82,25.93,26.8,26.88,26.79,26.1,25.1,24.36,24.15,24.07,24.02,24.18,25.69,26.12,26.62,26.82,27.35,27.08,26.51,25.93,25.99,25.88,25.8,25.91,27.04,27.06,27.37,27.73,28.01,28.14,27.96,27.54,27.54,27.81,28.02,28.09,-0.5,-0.69,-0.57,-0.73,-0.45,-0.43,-0.26,-0.19,-0.19,-0.44,-0.43,-0.49
1957,75.5,410.1,196.4,266.8,324.4,82.2,6.4,35.1,17.7,138.8,94.3,157.0,22.79,25.9,27.18,26.62,26.36,24.79,23.63,22.15,21.75,21.79,22.44,23.44,24.93,26.11,27.39,27.84,27.78,27.34,27.0,26.18,25.67,25.67,26.18,26.55,26.09,26.53,27.43,28.14,28.42,28.28,28.14,27.71,27.43,27.39,27.74,27.87,28.01,27.99,28.12,28.65,29.05,28.7,28.5,28.74,28.87,29.05,29.03,28.98,-0.37,-0.11,-0.07,-0.03,-0.26,-0.11,-0.31,-0.21,-0.35,-0.38,-0.26,-0.16
1958,83.7,368.1,180.6,234.9,346.9,70.4,42.4,61.2,33.9,88.7,148.5,280.2,24.62,26.47,27.03,26.41,24.85,23.54,22.24,20.65,20.75,21.09,21.53,22.55,26.91,27.36,27.68,27.78,27.35,26.71,25.75,25.09,24.71,24.8,25.16,24.98,28.23,28.25,28.21,28.27,28.33,28.16,27.37,26.85,26.64,26.79,27.05,26.85,29.13,29.19,29.1,29.04,29.16,29.12,28.86,28.77,28.73,28.86,28.8,28.86,-0.26,-0.26,-0.57,-0.63,-1.07,-1.06,-0.51,-0.64,-0.63,-0.49,-0.39,-0.02
1959,121.0,214.3,223.9,257.9,187.7,108.6,32.7,57.4,40.5,10.2,213.2,93.6,23.83,25.76,26.75,25.65,24.21,22.62,21.54,20.13,20.27,20.84,21.86,22.64,25.59,26.34,26.95,27.46,26.86,26.12,24.99,24.42,24.31,24.59,24.59,24.79,27.05,27.22,27.43,27.85,27.74,27.35,26.56,26.27,26.1,26.31,26.22,26.3,28.62,28.4,28.35,28.72,28.79,28.47,28.43,28.4,28.39,28.4,28.18,28.1,0.04,0.05,0.28,0.2,-0.17,-0.14,-0.24,-0.2,-0.1,-0.13,-0.22,-0.23
