Year,rainfall_06,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_05,rainfall_12,nino12_01,nino12_02,nino12_03,nino12_04,nino12_05,nino12_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_05,nino3_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_05,nino34_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_05,nino4_12,tsa_01,tsa_02,tsa_03,tsa_04,tsa_05,tsa_12
1950,160.5,323.9,236.1,435.1,285.1,227.3,339.9,23.3,24.33,25.24,23.88,22.91,21.82,23.84,25.06,26.53,26.64,25.87,24.36,24.91,25.26,26.08,26.38,26.25,25.43,27.18,26.83,26.91,27.42,27.95,27.35,0.08,0.15,0.12,-0.17,-0.34,-0.92
1951,249.1,275.0,156.7,311.0,415.1,305.7,206.3,24.19,25.04,25.51,25.19,24.55,22.91,24.96,25.81,27.04,27.43,27.15,25.84,25.4,25.78,27.02,27.63,27.99,26.9,27.39,27.17,27.85,28.43,29.09,28.52,-0.98,-0.7,-0.87,-0.51,-0.37,0.0
1952,93.5,343.5,419.1,329.4,451.1,286.2,376.3,24.4,25.95,26.26,24.91,23.99,22.7,25.96,26.49,27.29,27.59,27.15,24.82,26.76,26.86,27.36,28.02,28.16,26.57,28.37,28.12,28.15,28.58,28.76,28.34,0.06,-0.01,-0.08,-0.08,-0.19,-0.14
1953,21.7,219.5,420.6,278.2,201.7,169.4,175.8,24.29,26.24,27.12,26.96,25.37,22.42,25.79,26.77,27.52,27.83,27.46,25.45,26.95,27.25,27.64,28.22,28.34,27.08,28.22,28.02,28.1,28.51,28.91,28.8,-0.15,-0.25,0.01,-0.29,-0.14,-0.41
1954,99.4,311.9,269.5,314.5,236.0,63.9,181.3,22.72,25.08,25.18,22.92,21.98,21.41,25.63,26.35,26.82,26.08,25.86,24.0,26.99,27.11,27.04,26.89,27.12,25.7,28.49,28.3,28.04,28.19,28.43,27.71,-0.43,-0.5,-0.52,-0.4,-0.61,-0.23
1955,69.6,273.0,359.7,321.8,267.8,274.6,284.3,23.79,24.87,25.11,24.31,22.48,21.41,24.96,25.78,26.39,26.45,25.74,23.33,25.88,25.92,26.4,26.7,26.97,24.81,27.68,27.42,27.61,27.79,28.22,27.23,-0.42,-0.6,-0.45,-0.52,-0.34,-0.57
1956,119.3,248.8,217.2,249.3,274.2,153.6,208.6,23.54,25.2,25.91,24.48,23.24,21.47,24.82,25.93,26.8,26.88,26.79,24.18,25.69,26.12,26.62,26.82,27.35,25.91,27.04,27.06,27.37,27.73,28.01,28.09,-0.5,-0.69,-0.57,-0.73,-0.45,-0.49
1957,82.2,410.1,196.4,266.8,324.4,75.5,157.0,22.79,25.9,27.18,26.62,26.36,23.44,24.93,26.11,27.39,27.84,27.78,26.55,26.09,26.53,27.43,28.14,28.42,27.87,28.01,27.99,28.12,28.65,29.05,28.98,-0.37,-0.11,-0.07,-0.03,-0.26,-0.16
1958,70.4,368.1,180.6,234.9,346.9,83.7,280.2,24.62,26.47,27.03,26.41,24.85,22.55,26.91,27.36,27.68,27.78,27.35,24.98,28.23,28.25,28.21,28.27,28.33,26.85,29.13,29.19,29.1,29.04,29.16,28.86,-0.26,-0.26,-0.57,-0.63,-1.07,-0.02
1959,108.6,214.3,223.9,257.9,187.7,121.0,93.6,23.83,25.76,26.75,25.65,24.21,22.64,25.59,26.34,26.95,27.46,26.86,24.79,27.05,27.22,27.43,27.85,27.74,26.3,28.62,28.4,28.35,28.72,28.79,28.1,0.04,0.05,0.28,0.2,-0.17,-0.23
