Year,1,2,3,4,5,6,7,8,9,10,11,12
1925,-35.07,-131.28,29.74,-6.33,-11.35,-42.06,-17.34,-11.73,-13.41,-44.07,-103.98,-41.76
1926,-34.57,-135.68,-62.26,-142.33,23.75,-42.96,-38.34,-17.43,-2.11,104.93,159.02,-91.76
1927,21.73,103.12,10.74,-48.73,137.05,3.54,25.26,16.67,2.39,140.63,20.32,-72.66
1928,181.53,176.42,-12.96,35.87,-39.65,-81.16,112.96,-10.63,2.29,-58.07,114.02,-32.26
1929,24.23,52.32,27.24,82.27,-99.15,84.64,-43.74,34.57,-12.11,-10.67,2.52,187.34
1930,97.53,-21.08,-101.06,142.97,-75.35,-49.86,-33.84,-23.33,17.69,87.83,-46.78,-63.26
1931,-90.67,-23.58,-23.36,-92.23,-31.55,-18.46,-51.84,13.37,18.09,-5.77,-13.08,-111.66
1932,41.93,-39.38,-26.86,-171.43,-131.45,-31.86,-38.04,-27.93,5.39,-42.07,-123.28,6.14
1933,-45.67,-36.08,87.54,125.07,-60.55,31.54,23.96,-9.63,-8.61,1.83,22.92,99.44
1934,46.03,-20.28,20.34,144.87,51.35,28.54,-0.34,-8.13,-18.81,63.83,-61.68,88.74
1935,-80.47,73.12,266.84,74.77,99.95,33.74,-29.64,-9.43,-17.61,-17.07,85.12,-17.76
1936,85.63,-70.68,-165.26,-43.83,-139.55,-48.76,-31.34,-30.43,-27.01,-7.37,26.02,-99.96
1937,-130.07,-61.48,-62.06,-117.53,268.85,-8.96,9.96,-19.03,12.79,115.43,-120.68,-28.66
1938,76.33,-8.38,-4.56,-4.13,-45.75,-46.26,-20.84,46.47,-23.81,-29.97,104.22,81.54
1939,103.43,33.52,183.84,-114.33,-32.55,-31.16,20.96,-18.43,-45.21,-81.57,79.22,2.84
1940,-49.97,-108.48,-202.46,-43.73,-83.75,-24.96,-48.64,-1.63,16.69,9.03,-73.58,-40.76
1941,-56.57,52.02,-56.06,-130.03,-133.05,36.24,58.06,-19.73,-34.41,81.53,-48.18,-35.66
