Year,1,2,3,4,5,6,7,8,9,10,11,12
1950,-1.11,-1.55,-1.01,-1.54,-1.35,-1.36,-1.27,-0.62,-0.96,-0.75,-1.39,-0.94
1951,-0.22,-0.84,-0.74,-0.23,0.29,1.61,1.94,1.34,0.82,0.88,0.73,0.15
1952,-0.01,0.07,0.01,-0.51,-0.27,-0.41,-0.49,-0.61,-0.88,-0.19,-0.49,-0.06
1953,-0.12,0.36,0.87,1.54,1.11,0.54,0.25,0.48,0.42,0.15,0.1,-0.34
1954,-1.69,-0.8,-1.07,-2.5,-2.28,-1.91,-2.24,-1.54,-1.44,-1.55,-1.22,-1.35
1955,-0.62,-1.01,-1.14,-1.11,-1.78,-1.66,-1.08,-1.1,-1.03,-1.42,-1.53,-1.35
1956,-0.87,-0.68,-0.34,-0.94,-1.02,-0.85,-0.26,-0.13,-0.64,-1.1,-0.89,-1.29
1957,-1.62,0.02,0.93,1.2,2.1,1.83,1.78,1.24,1.12,0.9,0.86,0.68
1958,0.21,0.59,0.78,0.99,0.59,0.58,0.39,-0.26,0.12,0.2,-0.05,-0.21
1959,-0.58,-0.12,0.5,0.23,-0.05,-0.34,-0.31,-0.78,-0.36,-0.05,0.28,-0.12
1960,-0.01,-0.46,-0.47,-0.85,-0.74,-1.04,-1.12,-0.67,-0.05,-0.38,-0.52,-0.27
1961,0.18,0.58,-0.37,-0.38,-0.58,-0.76,-1.12,-0.89,-0.9,-0.63,-0.21,-0.34
1962,-0.19,-0.59,-1.6,-1.72,-1.06,-0.99,-0.94,-0.67,-0.51,-0.71,-0.64,-0.85
1963,-0.43,-0.4,-0.42,-1.08,-0.37,-0.5,-0.12,0.27,0.25,0.1,-0.26,-0.35
1964,-0.47,-0.95,-1.14,-0.95,-2.06,-1.53,-1.65,-1.33,-0.92,-1.21,-0.67,-1.04
1965,-0.52,-0.04,0.1,1.06,1.48,1.21,1.13,1.32,0.47,0.42,0.34,0.35
1966,0.59,-0.08,-0.86,-0.98,-1.19,-1.17,-1.07,-0.82,-0.75,-0.4,-0.58,-0.35
1967,-0.63,-0.29,-0.88,-0.43,-0.36,-0.74,-0.69,-0.8,-1.36,-1.43,-1.51,-1.56
1968,-1.22,-0.96,-1.1,-1.2,-1.4,-1.03,-0.45,0.0,0.47,-0.09,-0.14,0.23
1969,0.17,-0.24,0.72,1.08,1.53,1.17,0.56,0.06,0.2,0.79,0.74,0.72
1970,0.56,-0.03,-0.67,-0.38,-1.12,-1.41,-1.83,-1.62,-1.25,-0.87,-0.98,-0.86
1971,-1.03,-1.17,-0.96,-0.34,-0.73,-1.19,-0.75,-1.08,-1.14,-1.08,-0.61,-0.87
1972,-0.15,0.69,0.7,0.77,0.86,1.71,2.07,2.42,1.38,1.51,1.42,1.72
