Year,1,2,3,4,5,6,7,8,9,10,11,12
1948,-0.28,-0.18,-0.04,-0.28,-0.47,-0.7,-0.45,-0.57,-0.44,-0.45,-0.37,-0.25
1949,-0.25,-0.05,-0.09,0.15,0.01,-0.01,0.11,0.17,0.2,0.01,0.0,-0.2
1950,0.02,0.09,0.04,-0.24,-0.41,-0.29,-0.21,-0.38,-0.54,-0.57,-0.48,-0.96
1951,-1.04,-0.76,-0.95,-0.58,-0.44,-0.32,-0.16,0.01,0.02,-0.0,-0.1,-0.04
1952,-0.0,-0.07,-0.16,-0.15,-0.26,0.01,-0.12,-0.05,-0.07,-0.11,-0.02,-0.18
1953,-0.21,-0.31,-0.07,-0.36,-0.21,-0.16,-0.12,-0.1,0.01,-0.0,-0.2,-0.45
1954,-0.49,-0.56,-0.6,-0.47,-0.68,-0.63,-0.71,-0.43,-0.28,-0.17,-0.14,-0.27
1955,-0.48,-0.66,-0.53,-0.59,-0.41,-0.5,-0.32,-0.5,-0.44,-0.31,-0.22,-0.61
1956,-0.56,-0.75,-0.65,-0.8,-0.52,-0.49,-0.31,-0.23,-0.22,-0.47,-0.45,-0.53
1957,-0.43,-0.17,-0.15,-0.1,-0.33,-0.17,-0.36,-0.25,-0.38,-0.41,-0.28,-0.2
1958,-0.32,-0.32,-0.65,-0.7,-1.14,-1.12,-0.56,-0.68,-0.66,-0.52,-0.41,-0.06
1959,-0.02,-0.01,0.2,0.13,-0.24,-0.2,-0.29,-0.24,-0.13,-0.16,-0.24,-0.27
1960,-0.39,-0.47,-0.17,-0.29,-0.06,-0.29,0.03,-0.06,-0.08,-0.13,-0.01,-0.04
1961,-0.06,-0.18,-0.1,-0.17,-0.04,-0.16,-0.26,-0.23,0.0,-0.05,-0.08,-0.16
1962,-0.14,-0.22,-0.19,-0.08,0.11,0.02,-0.14,-0.07,-0.11,-0.0,-0.01,-0.23
1963,-0.11,-0.05,0.19,0.14,0.35,0.39,0.38,0.41,0.38,0.42,0.67,0.73
1964,0.59,0.25,0.25,-0.01,-0.29,-0.2,-0.25,-0.25,-0.71,-0.82,-0.65,-0.8
1965,-0.45,-0.14,0.03,0.03,0.08,-0.23,-0.44,-0.25,-0.06,-0.2,-0.32,-0.29
1966,-0.25,-0.34,-0.47,0.01,0.06,0.56,0.23,-0.1,-0.1,-0.08,0.19,0.56
1967,0.24,0.24,-0.11,-0.27,-0.44,-0.67,-0.67,-0.44,-0.38,-0.64,-0.42,-0.17
1968,-0.09,-0.3,-0.34,-0.08,-0.08,0.02,0.19,0.16,0.26,0.41,0.47,0.46
1969,0.26,0.47,0.3,0.28,0.13,-0.11,-0.2,-0.03,-0.12,-0.09,-0.09,-0.23
1970,-0.4,-0.32,-0.28,-0.35,-0.26,-0.39,-0.16,-0.28,-0.25,-0.42,-0.22,-0.38
1971,-0.07,-0.04,-0.14,0.02,0.18,0.11,-0.28,-0.24,-0.19,-0.41,-0.7,-0.83
1972,-0.14,-0.12,-0.26,-0.04,-0.1,0.03,0.2,0.22,0.2,0.26,0.42,0.85
1973,0.73,0.66,0.51,0.69,0.86,0.69,0.62,0.54,0.72,0.64,0.52,0.36
1974,0.28,0.08,0.07,0.29,0.42,0.37,0.53,0.38,0.11,0.08,0.23,0.07
1975,-0.19,-0.25,-0.23,-0.18,-0.03,0.11,-0.03,-0.06,-0.27,-0.21,-0.05,-0.38
1976,-0.47,-0.46,-0.56,-0.74,-0.77,-0.66,-0.72,-0.52,-0.35,-0.38,-0.47,-0.25
1977,-0.25,-0.06,-0.08,-0.1,-0.12,-0.15,-0.19,-0.03,0.0,-0.12,-0.1,-0.11
1978,-0.25,-0.35,-0.53,-0.72,-0.71,-0.53,-0.13,-0.24,-0.38,-0.41,-0.45,-0.2
1979,-0.22,-0.3,-0.39,-0.06,-0.0,0.04,0.09,0.23,0.26,0.02,0.04,-0.06
1980,-0.21,-0.4,-0.34,-0.18,-0.11,-0.14,-0.11,-0.01,0.08,-0.06,-0.27,-0.63
1981,-0.33,-0.53,-0.72,-0.59,-0.47,-0.28,-0.28,0.08,0.17,0.32,0.24,0.06
1982,-0.03,-0.26,-0.29,-0.42,-0.44,-0.51,-0.49,-0.61,-0.34,-0.14,-0.3,-0.21
1983,0.27,0.31,-0.22,-0.32,-0.52,-0.51,-0.36,-0.12,0.01,-0.11,0.04,0.35
1984,0.62,0.59,0.71,0.43,0.19,0.4,0.5,0.73,0.81,0.56,0.29,0.21
1985,0.26,0.46,0.06,0.08,0.17,-0.02,0.22,0.06,-0.01,0.24,0.22,0.25
1986,0.14,0.41,0.3,0.21,0.19,0.35,0.14,0.17,0.27,0.11,-0.19,-0.02
1987,-0.04,0.02,0.08,-0.03,0.21,0.36,0.45,0.39,0.29,0.39,0.61,0.35
1988,0.57,0.6,0.69,0.52,0.64,0.67,0.41,0.46,0.27,0.34,0.12,0.15
1989,0.35,0.17,0.27,0.22,0.26,0.25,0.21,0.35,0.18,0.25,-0.08,-0.29
1990,-0.4,0.07,0.24,0.28,-0.13,0.02,-0.16,-0.17,-0.1,0.07,0.15,0.18
1991,0.06,-0.0,0.06,0.24,0.42,0.38,0.0,-0.37,-0.39,-0.39,-0.36,-0.12
1992,-0.33,-0.32,-0.48,-0.64,-0.73,-0.86,-0.65,-0.7,-0.59,-0.55,-0.81,-0.4
1993,-0.31,-0.19,-0.17,0.13,-0.04,-0.09,0.0,0.0,0.41,0.66,0.73,0.46
1994,0.26,0.06,0.16,0.11,0.04,-0.24,-0.31,-0.21,-0.18,-0.08,0.06,0.16
1995,0.34,0.55,0.66,0.54,0.52,0.58,0.3,-0.11,-0.07,-0.08,0.1,-0.04
1996,0.12,0.37,0.39,0.58,0.7,0.81,0.61,0.31,0.1,0.09,0.1,-0.1
1997,-0.28,-0.4,-0.55,-0.57,-0.61,-0.73,-0.32,-0.13,0.18,0.66,0.77,0.99
1998,0.66,0.68,0.61,0.47,0.47,0.6,0.8,0.55,0.38,0.18,0.3,0.07
1999,0.07,-0.01,0.25,0.38,0.46,0.43,0.59,0.51,0.21,0.25,0.31,0.32
2000,0.15,0.33,0.32,0.3,0.22,0.14,0.1,0.16,-0.01,0.07,0.05,-0.05
2001,0.1,0.11,0.21,0.31,0.4,0.3,0.1,0.1,0.08,0.17,0.14,-0.03
2002,0.08,-0.12,0.21,0.24,0.42,0.27,0.42,-0.03,-0.11,0.11,-0.09,0.31
2003,0.5,0.51,0.55,0.35,0.3,0.04,0.35,0.45,0.46,0.5,0.53,0.52
