Date,AHT,ALT,ARH,WS,RAINFALL
1-2-1970,28.3,23.1,91.75,5.9,3.8
2-2-1970,27.6,22.5,90,4.37,40.2
3-2-1970,31.5,22.9,87.25,4.1,3.3
4-2-1970,29.9,23.3,87.25,2.83,2.5
5-2-1970,31.5,22.6,82.75,8.43,0
6-2-1970,27.2,24,88.5,5.83,2.6
7-2-1970,30.9,22.9,87.75,4.83,11
8-2-1970,30,23.3,89.75,7.63,0.1
9-2-1970,33.3,22.8,86.25,4.5,8.2
10-2-1970,30.4,23.3,91,6.1,3.7
11-2-1970,31.6,23.9,84,3.0,1.5
12-2-1970,30.5,24.2,93.75,2.0,4.2
13-2-1970,33.5,22.1,85.75,4.03,1.1
14-2-1970,31.7,24.3,86,3.33,0
15-2-1970,31.5,24.2,88.5,0.6,0.3
16-2-1970,32.7,23.3,87.75,0.67,4.6
17-2-1970,28.6,23.5,93.75,1.67,55.3
18-2-1970,30.7,24,93.5,3.55,6.5
19-2-1970,32.8,23.3,86.25,6.77,2.5
20-2-1970,31.8,23.2,90.25,1.33,4.5
21-2-1970,32.4,24.3,84.5,4.0,8.8
22-2-1970,32.6,24.5,88.25,0.85,1.5
23-2-1970,27.6,24.3,92.75,4.67,11.3
24-2-1970,26.1,23.9,97.25,3.07,5.6
25-2-1970,30.6,22.8,91.5,4.43,29
26-2-1970,27,22.4,93.5,3.43,110.3
27-2-1970,31.4,23.2,90.25,1.4,1.4
28-2-1970,32.8,24.5,78.75,6.23,2.4
1-2-1971,29.8,21.4,90.25,4.67,41.8
2-2-1971,29.3,22.3,86,5.43,2.6
3-2-1971,30.6,22.4,91.75,3.87,0
4-2-1971,31.1,21.5,83.5,2.23,7.4
5-2-1971,31.3,23.1,87.75,4.77,0
6-2-1971,29.6,23.1,86.75,5.7,52
7-2-1971,30.7,22.4,85.5,4.17,3
8-2-1971,30.7,22.3,86.5,4.4,0
9-2-1971,27.8,22.8,90.25,2.7,6.8
