Year,RAINFALL
1970,184.5
1971,316.4000000000001
1973,439.90000000000015
1974,257.8
1975,246.29999999999998
1976,90.19999999999999
1977,240.3
1978,268.5000000000001
1983,171.50000000000006
1984,271.9
1985,346.3999999999999
1986,203.6
1987,167.8
1988,297.69999999999993
1989,555.0999999999999
1990,244.60000000000002
1991,322.20000000000005
1992,118.80000000000001
1993,96.8
1994,174.20000000000002
1995,217.49999999999997
1996,127.50000000000001
1997,252.2
1998,273.4
1999,445.4
2000,172.60000000000002
2001,231.6
2002,262.90000000000003
2003,219.5999999999999
2004,422.9000000000001
2005,225.5
2006,382.0999999999999
2007,165.3
2008,264.09999999999997
2009,114.0
2010,165.10000000000002
