Date,AHT,ALT,ARH,WS,RAINFALL
1-1-1970,30.3,22.1,92.5,2.97,21.5
2-1-1970,30.4,23.3,87,4.0,0
3-1-1970,31.4,23.5,89.75,1.77,0.1
4-1-1970,30.3,23.8,95,1.87,2.4
5-1-1970,28.6,22.7,91.25,1.43,27.5
6-1-1970,32.2,22.8,88.75,2.97,2.5
7-1-1970,32.2,24.4,85.25,1.3,0
8-1-1970,33,24.4,86.75,1.25,0
9-1-1970,32.5,24.9,82,5.33,3.9
10-1-1970,32.6,24.7,85.5,5.33,0
11-1-1970,28.4,24.9,89,5.83,1.1
12-1-1970,30.4,24.1,92,2.0,4
13-1-1970,26,23,97.75,2.8,8.1
14-1-1970,31.2,22,88,5.4,34.5
15-1-1970,31.9,23.4,85.75,7.33,0.3
16-1-1970,25.7,22.7,97,2.33,98.8
17-1-1970,29.4,22,89,1.27,31.5
18-1-1970,32.4,22.6,79.75,4.73,0
19-1-1970,32.3,23.9,77.5,8.8,0
20-1-1970,28.9,22.3,96,6.97,10.1
21-1-1970,31.5,21.8,86.5,6.93,49.8
22-1-1970,31.7,23.4,85.75,5.7,0
23-1-1970,28.5,24.3,89.75,6.17,0.3
24-1-1970,32.9,23.8,81.25,3.8,1.7
25-1-1970,32.2,24.4,89,3.43,0
26-1-1970,31.6,23.3,84.75,2.0,12.2
27-1-1970,32.6,24.1,85.5,7.8,3.2
28-1-1970,32,23.7,85,5.03,0
29-1-1970,26.1,21.9,96.25,0.83,1
30-1-1970,29.1,22.3,96,2.77,50.2
31-1-1970,31.3,22.5,89,7.83,22
1-1-1971,31.4,23.5,88.75,5.57,2
2-1-1971,33.3,24.5,84,6.77,3.3
3-1-1971,31.9,24,90,5.9,0
4-1-1971,31.8,24.2,89.75,3.0,1.9
5-1-1971,31.5,22.6,83.5,2.27,27.6
6-1-1971,29.4,23.9,91,2.17,0
7-1-1971,26,24.3,95.25,1.67,11.8
8-1-1971,25.6,21.6,96.25,2.5,5.8
9-1-1971,28.5,21.5,91,5.1,25.1
10-1-1971,30.8,21.7,87.25,6.37,0.3
11-1-1971,32.2,23,78.75,2.9,0
12-1-1971,32.1,24.2,81.75,4.43,0
13-1-1971,28.3,23,95.25,1.77,0.1
14-1-1971,29.2,22.1,95,0.33,43.3
15-1-1971,29.8,21.5,92,2.0,9.8
16-1-1971,29.9,21.3,88,1.17,9.8
17-1-1971,30.9,22.5,84,8.43,0.2
18-1-1971,27.2,22,96.75,5.9,0.1
19-1-1971,30.7,22,85,4.8,30.7
20-1-1971,30.4,22.7,85,4.73,0
21-1-1971,28.5,21.8,92.5,4.17,31
22-1-1971,29.8,21.9,90.5,7.83,25
23-1-1971,28.8,22.7,91.25,5.4,0.1
24-1-1971,28.2,21.9,94.5,3.7,24.2
25-1-1971,26.7,22.5,93.75,3.67,7.3
26-1-1971,29.9,21.3,86.5,2.43,11.7
27-1-1971,26.6,22.2,92,4.4,6.2
28-1-1971,29,20.8,92.75,1.77,0.2
29-1-1971,27.5,22.3,91.75,1.23,10.3
30-1-1971,31.3,23.3,80.5,7.03,0
31-1-1971,28,22,92,3.1,0
1-1-1972,28.1,24.4,90.25,5.83,0
2-1-1972,31.3,22.7,80.25,2.9,8.8
3-1-1972,32.6,22.9,76.5,3.23,0
4-1-1972,30.6,22.5,81,4.15,0
5-1-1972,31.8,23.5,83.5,1.5,6.7
6-1-1972,27.5,22.7,91.75,3.07,0.6
7-1-1972,26.9,22.6,93,6.67,0.9
8-1-1972,26.5,22.3,92.75,4.23,9.6
9-1-1972,31.9,21.4,82.75,2.77,0.3
10-1-1972,31.2,23.5,85.75,4.93,0
11-1-1972,28.3,23,88.5,3.03,24.1
12-1-1972,29.7,23.2,84.75,4.53,1.3
13-1-1972,30.8,22.8,95.5,3.9,0
14-1-1972,30.3,23,84.75,3.13,12.5
15-1-1972,30.1,22.5,85.25,1.0,0
16-1-1972,30.5,22.3,87.25,2.87,25
17-1-1972,28,23.1,91.25,6.1,0.2
18-1-1972,30.3,21.5,88.75,2.77,46.5
19-1-1972,28.3,23,86.75,4.47,2.6
20-1-1972,32.1,22.6,80.25,2.57,0
21-1-1972,31.6,23.8,83.5,5.23,0.3
22-1-1972,26.4,23.2,92,2.3,4.7
23-1-1972,29.4,22.9,91.5,2.27,11.3
24-1-1972,30.9,22.6,83,2.33,2.5
25-1-1972,28.2,24,92.25,2.67,0
26-1-1972,26.1,22.9,96,1.4,25.6
27-1-1972,27,22.5,92.75,1.6,13.1
28-1-1972,30.7,21.8,86.5,2.73,1
29-1-1972,32.1,23.9,83.5,4.67,0
30-1-1972,32.4,23.8,82.5,5.57,0.1
31-1-1972,32,23.5,85,6.1,0
1-1-1973,33.6,23.8,79.75,2.0,1.5
2-1-1973,32.6,23.5,86,3.0,18
3-1-1973,32.2,24.7,85.5,5.33,18.2
4-1-1973,31.7,25.1,,5.93,
5-1-1973,29.9,23.8,92.75,2.23,1.5
6-1-1973,32.3,24.2,88.75,2.57,20.4
7-1-1973,32.4,25.2,84.75,4.0,1
8-1-1973,28.8,24.6,90,1.33,2
9-1-1973,29.6,24.2,91,1.67,16.8
10-1-1973,27.5,23,93,3.1,7
11-1-1973,30.4,22.7,87.25,2.65,1.5
12-1-1973,31.7,23.3,88.5,2.33,29
13-1-1973,32,23.9,79,5.13,3.4
14-1-1973,32.6,24.2,84.25,0.67,0.1
15-1-1973,31.8,24.3,85.75,4.1,0.3
16-1-1973,31.2,24.1,83.75,2.1,1.9
17-1-1973,32.8,24,76,4.0,0
18-1-1973,33.6,24.7,76.5,2.17,0
19-1-1973,34,24.6,80,3.9,5.8
20-1-1973,32.7,23.7,73.5,6.1,0
21-1-1973,32,25.2,85.75,3.7,0
22-1-1973,30.3,24.4,86.75,2.0,10
23-1-1973,28.3,22.8,94.75,1.1,6.7
24-1-1973,27.4,24,94,3.9,13
25-1-1973,29.9,21.9,81.5,7.0,20.9
26-1-1973,32.8,23.7,79.75,5.1,0
27-1-1973,32.9,24.7,80.25,4.83,0
28-1-1973,33.3,24.2,77.5,3.33,0
29-1-1973,32.8,24.7,81.75,3.07,0
30-1-1973,30.8,25,86.25,1.5,0.9
31-1-1973,30.4,23.7,91,2.5,12.8
1-1-1974,32.4,22.8,80,3.33,0.2
2-1-1974,33.9,24,75.75,3.33,0.2
3-1-1974,30.2,23,94.75,2.0,56
4-1-1974,29,24.1,90,2.93,11
5-1-1974,32.3,23.2,82.25,3.17,0
6-1-1974,32.9,23,76.25,5.0,0
7-1-1974,31.8,23.9,79.25,6.1,0
8-1-1974,32.5,23.1,79.75,6.2,0
9-1-1974,30.6,23.6,80,6.43,0
10-1-1974,30.5,22.7,92.5,2.5,0
11-1-1974,31.1,22.3,83.75,2.0,28.3
12-1-1974,30.6,23.9,90.75,2.33,0
13-1-1974,31.1,22.5,83.25,1.33,82.8
14-1-1974,28.7,23.3,90.5,2.0,11
15-1-1974,30.8,23.1,86.5,4.23,3
16-1-1974,30.4,22.7,90,1.1,2.5
17-1-1974,27.5,22,90.25,0.0,62
18-1-1974,31.7,22.7,80.25,1.67,0.5
19-1-1974,30.4,23.3,85.25,4.63,0.6
20-1-1974,32,23.7,83.25,5.57,0.7
21-1-1974,29.8,23.3,87,8.1,0
22-1-1974,32.1,22.4,79,3.9,0
23-1-1974,31,23.8,86.5,2.23,0
24-1-1974,31.1,22.8,85.5,3.17,1
25-1-1974,27.6,22.7,93.25,2.0,16.6
26-1-1974,28.6,22.7,84.75,1.5,2
27-1-1974,32.4,23,79,3.0,0.1
