Year,RAINFALL
1970,96.2
1971,40.5
1972,72.4
1973,86.10000000000001
1974,68.4
1975,36.39999999999999
1976,29.5
1977,77.00000000000001
1978,161.0
1983,99.19999999999999
1984,135.5
1985,65.89999999999999
1986,71.10000000000001
1987,64.60000000000001
1988,110.6
1989,136.4
1990,22.799999999999997
1991,39.0
1992,90.0
1993,21.9
1994,62.599999999999994
1995,72.39999999999999
1996,114.0
1997,40.5
1998,115.60000000000001
1999,98.8
2000,218.1
2001,88.2
2002,60.1
2003,60.9
2004,112.0
2005,45.9
2006,32.800000000000004
2007,71.7
2008,56.00000000000001
2009,4.2
2010,26.6
