,Ano,Mês,Valor,Variável
0,1950.0,1.0,0.0172485409,rainfall
1,1950.0,2.0,0.0127143288,rainfall
2,1950.0,3.0,0.0205001838,rainfall
3,1950.0,4.0,0.0135699871,rainfall
4,1950.0,5.0,0.0143340018,rainfall
5,1950.0,6.0,0.0213846031,rainfall
6,1950.0,7.0,0.0095911275,rainfall
7,1950.0,8.0,0.0024437656,rainfall
8,1950.0,9.0,0.0039054164,rainfall
9,1950.0,10.0,0.0181049929,rainfall
10,1950.0,11.0,0.0104522202,rainfall
11,1950.0,12.0,0.0229264048,rainfall
12,1950.0,1.0,0.0144625278,nino12
13,1950.0,2.0,0.014246232,nino12
14,1950.0,3.0,0.0145665247,nino12
15,1950.0,4.0,0.0142319062,nino12
16,1950.0,5.0,0.0143104321,nino12
17,1950.0,6.0,0.0142546971,nino12
18,1950.0,7.0,0.0142699644,nino12
19,1950.0,8.0,0.0147034313,nino12
20,1950.0,9.0,0.0144496356,nino12
21,1950.0,10.0,0.0146100834,nino12
22,1950.0,11.0,0.0141782712,nino12
23,1950.0,12.0,0.0145287479,nino12
24,1950.0,1.0,0.0141253985,nino3
25,1950.0,2.0,0.0144250141,nino3
26,1950.0,3.0,0.0148383885,nino3
27,1950.0,4.0,0.0147316615,nino3
28,1950.0,5.0,0.0144862613,nino3
29,1950.0,6.0,0.0146806122,nino3
30,1950.0,7.0,0.0147589935,nino3
31,1950.0,8.0,0.0148245778,nino3
32,1950.0,9.0,0.014714477,nino3
33,1950.0,10.0,0.0148396275,nino3
34,1950.0,11.0,0.0146555847,nino3
35,1950.0,12.0,0.0146563342,nino3
36,1950.0,1.0,0.0142303825,nino34
37,1950.0,2.0,0.0143319149,nino34
38,1950.0,3.0,0.0145339441,nino34
39,1950.0,4.0,0.0144539233,nino34
40,1950.0,5.0,0.0143124308,nino34
41,1950.0,6.0,0.0146010653,nino34
42,1950.0,7.0,0.0147153089,nino34
43,1950.0,8.0,0.0146482442,nino34
44,1950.0,9.0,0.0146038016,nino34
45,1950.0,10.0,0.0146890088,nino34
46,1950.0,11.0,0.0146101959,nino34
47,1950.0,12.0,0.014482849,nino34
48,1950.0,1.0,0.0146186406,nino4
49,1950.0,2.0,0.0144834436,nino4
50,1950.0,3.0,0.0144682864,nino4
51,1950.0,4.0,0.0145992397,nino4
52,1950.0,5.0,0.0147280449,nino4
53,1950.0,6.0,0.0148934489,nino4
54,1950.0,7.0,0.0147192556,nino4
55,1950.0,8.0,0.0146204729,nino4
56,1950.0,9.0,0.0145612778,nino4
57,1950.0,10.0,0.0145485597,nino4
58,1950.0,11.0,0.0145550672,nino4
59,1950.0,12.0,0.014579513,nino4
60,1950.0,1.0,0.004048583,tsa
61,1950.0,2.0,0.0072604066,tsa
62,1950.0,3.0,0.0054421769,tsa
63,1950.0,4.0,-0.0079033008,tsa
64,1950.0,5.0,-0.0147697654,tsa
65,1950.0,6.0,-0.0098924731,tsa
66,1950.0,7.0,-0.0080523402,tsa
67,1950.0,8.0,-0.0201780415,tsa
68,1950.0,9.0,-0.0327132777,tsa
69,1950.0,10.0,-0.0313043478,tsa
70,1950.0,11.0,-0.0258863253,tsa
71,1950.0,12.0,-0.0447035957,tsa
72,1951.0,1.0,0.0146444852,rainfall
73,1951.0,2.0,0.0084385232,rainfall
74,1951.0,3.0,0.0146530847,rainfall
75,1951.0,4.0,0.0197576346,rainfall
76,1951.0,5.0,0.0192780658,rainfall
77,1951.0,6.0,0.0331894369,rainfall
78,1951.0,7.0,0.0133934007,rainfall
79,1951.0,8.0,0.0067758956,rainfall
80,1951.0,9.0,0.0303470058,rainfall
81,1951.0,10.0,0.0167544728,rainfall
82,1951.0,11.0,0.0117459804,rainfall
83,1951.0,12.0,0.0139150259,rainfall
84,1951.0,1.0,0.0150149591,nino12
85,1951.0,2.0,0.0146619667,nino12
86,1951.0,3.0,0.0147223473,nino12
87,1951.0,4.0,0.0150126347,nino12
88,1951.0,5.0,0.0153348366,nino12
89,1951.0,6.0,0.016214718,nino12
90,1951.0,7.0,0.0164957461,nino12
91,1951.0,8.0,0.0161237726,nino12
92,1951.0,9.0,0.0157572285,nino12
93,1951.0,10.0,0.0157925281,nino12
94,1951.0,11.0,0.0156670248,nino12
95,1951.0,12.0,0.0152545194,nino12
96,1951.0,1.0,0.0147890078,nino3
97,1951.0,2.0,0.0148567284,nino3
98,1951.0,3.0,0.0151236346,nino3
99,1951.0,4.0,0.0151685238,nino3
100,1951.0,5.0,0.0152030148,nino3
101,1951.0,6.0,0.0152476745,nino3
102,1951.0,7.0,0.0156736852,nino3
103,1951.0,8.0,0.0156347301,nino3
104,1951.0,9.0,0.0156641909,nino3
105,1951.0,10.0,0.0156420981,nino3
106,1951.0,11.0,0.0157331122,nino3
107,1951.0,12.0,0.0155467848,nino3
108,1951.0,1.0,0.0145103057,nino34
109,1951.0,2.0,0.0146269504,nino34
110,1951.0,3.0,0.0150577903,nino34
111,1951.0,4.0,0.0151388136,nino34
112,1951.0,5.0,0.0152611405,nino34
113,1951.0,6.0,0.0151062545,nino34
114,1951.0,7.0,0.0153730387,nino34
115,1951.0,8.0,0.0153099602,nino34
116,1951.0,9.0,0.0154835487,nino34
117,1951.0,10.0,0.0154047146,nino34
118,1951.0,11.0,0.0154171379,nino34
119,1951.0,12.0,0.0153200408,nino34
120,1951.0,1.0,0.0147315882,nino4
121,1951.0,2.0,0.0146669834,nino4
122,1951.0,3.0,0.0149736818,nino4
123,1951.0,4.0,0.0151369943,nino4
124,1951.0,5.0,0.0153287595,nino4
125,1951.0,6.0,0.015299107,nino4
