--------------------
BDMEP - INMET
--------------------
Estação           : MANAUS - AM (OMM: 82331)
Latitude  (graus) : -3.1
Longitude (graus) : -60.01
Altitude  (metros): 61.25
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/2008 a 31/12/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;
82331;31/01/2008;0000;397.4;
82331;29/02/2008;0000;298.8;
82331;31/03/2008;0000;553;
82331;30/04/2008;0000;345.4;
82331;31/05/2008;0000;264.1;
82331;30/06/2008;0000;202.7;
82331;31/07/2008;0000;80.2;
82331;31/08/2008;0000;58.4;
82331;30/09/2008;0000;56;
82331;31/10/2008;0000;162.2;
82331;30/11/2008;0000;280.8;
82331;31/12/2008;0000;458.1;
82331;31/01/2009;0000;310.8;
82331;28/02/2009;0000;457.9;
82331;31/03/2009;0000;232.5;
82331;30/04/2009;0000;222.1;
82331;31/05/2009;0000;114;
82331;30/06/2009;0000;165.8;
82331;31/07/2009;0000;25.1;
82331;31/08/2009;0000;5.4;
82331;30/09/2009;0000;4.2;
82331;31/10/2009;0000;26;
82331;30/11/2009;0000;132.3;
82331;31/12/2009;0000;262.4;
82331;31/01/2010;0000;295.8;
82331;28/02/2010;0000;352.5;
82331;31/03/2010;0000;206.4;
82331;30/04/2010;0000;303.4;
82331;31/05/2010;0000;165.1;
82331;30/06/2010;0000;119.1;
82331;31/07/2010;0000;100.6;
82331;31/08/2010;0000;54.8;
82331;30/09/2010;0000;26.6;
82331;31/10/2010;0000;116.9;
82331;30/11/2010;0000;140.6;
82331;31/12/2010;0000;290.1;
82331;31/01/2011;0000;226.8;
82331;28/02/2011;0000;493.3;
82331;31/03/2011;0000;323.3;
82331;30/04/2011;0000;515.9;
82331;31/05/2011;0000;222.4;
82331;30/06/2011;0000;121.3;
82331;31/07/2011;0000;20.2;
82331;31/08/2011;0000;64.3;
82331;30/09/2011;0000;41.5;
82331;31/10/2011;0000;283.7;
82331;30/11/2011;0000;272.8;
82331;31/12/2011;0000;194.5;
82331;31/01/2012;0000;365.2;
82331;29/02/2012;0000;288.7;
82331;31/03/2012;0000;277.4;
82331;30/04/2012;0000;195.6;
82331;31/05/2012;0000;167.8;
82331;30/06/2012;0000;85.4;
82331;31/07/2012;0000;83;
82331;31/08/2012;0000;26.6;
82331;30/09/2012;0000;90.3;
82331;31/10/2012;0000;181.3;
82331;30/11/2012;0000;284.5;
82331;31/12/2012;0000;266.2;
82331;31/01/2013;0000;314.6;
82331;28/02/2013;0000;342.1;
82331;31/03/2013;0000;427.4;
82331;30/04/2013;0000;420.6;
82331;31/05/2013;0000;238.4;
82331;30/06/2013;0000;32.3;
82331;31/07/2013;0000;167.1;
82331;31/08/2013;0000;53;
82331;30/09/2013;0000;121;
82331;31/10/2013;0000;193;
82331;30/11/2013;0000;312.2;
82331;31/12/2013;0000;101.3;
82331;31/01/2014;0000;253.3;
82331;28/02/2014;0000;245.4;
82331;31/03/2014;0000;527.7;
82331;30/04/2014;0000;255;
82331;31/05/2014;0000;411.3;
82331;30/06/2014;0000;211.7;
82331;31/07/2014;0000;66.1;
82331;31/08/2014;0000;32.2;
82331;30/09/2014;0000;0.6;
82331;31/10/2014;0000;190.9;
82331;30/11/2014;0000;196;
82331;31/12/2014;0000;173.8;
82331;31/01/2015;0000;303.7;
82331;28/02/2015;0000;214;
82331;31/03/2015;0000;373.7;
82331;30/04/2015;0000;165.5;
82331;31/05/2015;0000;280.8;
82331;30/06/2015;0000;75.8;
82331;31/07/2015;0000;47.3;
82331;31/08/2015;0000;10.7;
82331;30/09/2015;0000;15.8;
82331;31/10/2015;0000;31.3;
82331;30/11/2015;0000;90.7;
82331;31/12/2015;0000;126.4;
