,Valor,Relacao
rainfall_08,1.0,Positiva
rainfall_09,0.3802019098654241,Positiva
rainfall_02,0.22592799859062737,Negativa
rainfall_01,0.1688471803823743,Negativa
tsa_08,0.1372294516143076,Positiva
rainfall_07,0.09270938940810519,Positiva
rainfall_11,0.06904459043395561,Positiva
rainfall_06,0.06677233999045563,Negativa
rainfall_05,0.06410747429299908,Negativa
rainfall_10,0.055586352389780797,Negativa
nino3_08,0.053897705531027046,Negativa
rainfall_12,0.038093146822994174,Negativa
nino12_08,0.029618132463107717,Negativa
nino34_08,0.02912035018510592,Negativa
rainfall_04,0.027984914885833233,Negativa
nino4_08,0.009766196494564621,Positiva
rainfall_03,0.0028156685167757467,Negativa
