,Valor,Relacao
rainfall_02,1.0,Positiva
nino34_02,0.23876492784342362,Negativa
rainfall_08,0.22592799859062737,Negativa
nino4_02,0.2112629286254264,Negativa
rainfall_09,0.20865760191847316,Negativa
nino3_02,0.20141495712137195,Negativa
rainfall_01,0.17817696674432223,Positiva
rainfall_06,0.13207258257655977,Negativa
rainfall_11,0.12205845813480747,Positiva
rainfall_03,0.10527622486111901,Negativa
rainfall_10,0.10259435368186218,Positiva
tsa_02,0.10087663749507449,Positiva
rainfall_12,0.08729550544081022,Positiva
rainfall_07,0.06425880815505361,Negativa
rainfall_05,0.06093025709088403,Negativa
nino12_02,0.04436472006763903,Negativa
rainfall_04,0.019538732450211482,Positiva
