,Valor,Relacao
rainfall_01,1.0,Positiva
nino34_01,0.265672946500186,Negativa
nino3_01,0.25887122824171965,Negativa
rainfall_07,0.23402209134540808,Negativa
rainfall_04,0.2278344602869359,Positiva
nino12_01,0.22225461788084616,Negativa
rainfall_02,0.17817696674432223,Positiva
rainfall_08,0.1688471803823743,Negativa
nino4_01,0.16817869985221987,Negativa
rainfall_05,0.1276731560301087,Negativa
rainfall_06,0.12650340059372608,Positiva
tsa_01,0.11752416003424589,Negativa
rainfall_10,0.07608963638253159,Negativa
rainfall_03,0.06062607163566073,Negativa
rainfall_09,0.03423309314429168,Positiva
rainfall_11,0.030616312355355647,Positiva
rainfall_12,0.005330820936441353,Positiva
